subject,r_c_25%_25%,r_c_25%_75%,r_c_75%_25%,r_c_75%_75%,r_i_25%_25%,r_i_25%_75%,r_i_75%_25%,r_i_75%_75%,s_c_25%_25%,s_c_25%_75%,s_c_75%_25%,s_c_75%_75%,s_i_25%_25%,s_i_25%_75%,s_i_75%_25%,s_i_75%_75%
sub1,958.3131313131313,1081.8125,1005.0625,978.1739130434783,929.5454545454545,1047.1326530612246,1004.5652173913044,993.2666666666667,1006.8,1058.1,1020.3861386138614,1006.1875,1071.5294117647059,1095.3846153846155,1129,1034.2183908045977
sub10,704.7843137254902,782.9333333333333,868.2857142857143,919.875,779.8666666666667,742.0515463917526,899.1363636363636,849.3333333333334,924.75,915.3684210526316,844.5882352941177,983.5,1044.157894736842,952.2,853.8181818181819,990.8
sub11,619.5841584158416,622.25,654.25,639.8333333333334,654,654.47,735.2608695652174,722.5,753,785.8333333333334,731.76,805.5333333333333,860.3809523809524,876.9375,883.2857142857143,865.6734693877551
sub12,638.6601941747573,769.3125,708.625,857.7083333333334,909.1538461538462,762.795918367347,770.3333333333334,877.3125,784.5,997.9565217391304,701.7766990291262,1059.9375,948.0909090909091,995.0714285714286,835.3571428571429,887.4148936170212
sub13,891.2755102040817,886.625,896.6875,925.1818181818181,954.3571428571429,953.4146341463414,1021,1025.0714285714287,911.5625,884.75,904.7425742574258,1061.8125,1016.1875,1006.2307692307693,1033.2857142857142,1035.6823529411765
sub14,905.1747572815534,1034.125,869.75,1087.15,1128.5833333333333,1022.9381443298969,998.4,1052.6153846153845,965,1008.8260869565217,878.5841584158416,1032.4285714285713,1088.7894736842106,1056,1007.9333333333333,1033.9444444444443
sub15,933,1038.6666666666667,945,1060.0454545454545,998.3636363636364,1077.3625,1025.2666666666667,1071.8333333333333,960.1875,1050.3809523809523,974.1875,1066.4,1093.2727272727273,1278.2,1054.9166666666667,1143.5142857142857
sub16,837.1979166666666,866.875,915.5625,943.1363636363636,917.8181818181819,915.2,936.2272727272727,990.7857142857143,831.9285714285714,894,933.1855670103092,1032.142857142857,1009.5294117647059,957.2,1037,999.0945945945946
sub17,991.7979797979798,1017.2727272727273,1045.6,1131.9411764705883,1103.3846153846155,979.4945054945055,1081.6842105263158,1124.6,1081.9285714285713,1125.8666666666666,1055.4835164835165,1245.4166666666667,1137.0714285714287,1171.75,1010.7777777777778,1128.9
sub18,807.16,810.0769230769231,1003,965.7391304347826,787.1875,774.3,886.5416666666666,950.6666666666666,967.6875,1014.6666666666666,946.5686274509804,935.25,1013.5217391304348,1006.6923076923077,1018.0666666666667,973.5959595959596
sub19,953.72,953.3125,918.375,955.2916666666666,1120.5333333333333,1023.9247311827957,1050,1044.2,1006.8,971.5,909.2574257425742,1000.875,1063.2631578947369,1025.4285714285713,1142.7692307692307,1076.157894736842
sub2,968.3267326732673,1040.7142857142858,1040.8,1114.0434782608695,1059.6666666666667,1049.6930693069307,1066.578947368421,1173.4285714285713,1100.625,1134.4166666666667,1108.6630434782608,1142.625,1180.7777777777778,1163,1101,1138.1279069767443
sub20,980.2417582417582,962,949.9166666666666,1041.695652173913,1128.6,993.4880952380952,1077.3846153846155,1201.888888888889,1059.2727272727273,955.6,934.4591836734694,1109.6666666666667,1107.6153846153845,1153.8333333333333,936.5714285714286,1142.2727272727273
sub21,876.5728155339806,863.3125,861.8,920.6086956521739,984.0833333333334,963.578947368421,1061.7727272727273,1059.75,931.4375,930.3478260869565,912.8415841584158,891.7333333333333,1096.909090909091,1042.7857142857142,1064.7,1017.3655913978495
sub22,893.3883495145631,970.1333333333333,897.9375,970.25,1009.1111111111111,1046.1030927835052,971.6666666666666,1112.357142857143,959.6666666666666,963.0416666666666,878.1359223300971,932.8666666666667,1056.0714285714287,1077.4285714285713,1066.3,1053.7529411764706
sub23,924.68,916.6875,933.8125,949.8260869565217,983.4,931.8924731182796,915,940.4666666666667,964.8666666666667,920.1818181818181,910.52,940.4375,1043.3125,1074,1077.75,1009
sub24,970.4646464646464,951.0769230769231,940.5384615384615,1052.6666666666667,1083.2666666666667,944.0370370370371,981.421052631579,1059.4,1009.3571428571429,1165.8095238095239,1022.0555555555555,1088.1538461538462,1030.142857142857,1110.0666666666666,1026.076923076923,1045.6296296296296
sub25,1006.5151515151515,1006.9333333333333,995.0625,983.0434782608696,1154.2857142857142,1044.3555555555556,1162.923076923077,1168.3636363636363,1151.6666666666667,1058.375,1060.7395833333333,1109.2857142857142,1312.9166666666667,1126,1138.3333333333333,1157.7887323943662
sub26,1120.3939393939395,1085.625,1153.2666666666667,1164.7727272727273,1159.9,1127.698795180723,1170.4705882352941,1125.125,1116.7142857142858,1120.2608695652175,1114.731182795699,1182.7692307692307,1258.2142857142858,1240.8461538461538,1188.625,1279.7796610169491
