subject,r_c_25%_25%,r_c_25%_75%,r_c_75%_25%,r_c_75%_75%,r_i_25%_25%,r_i_25%_75%,r_i_75%_25%,r_i_75%_75%,s_c_25%_25%,s_c_25%_75%,s_c_75%_25%,s_c_75%_75%,s_i_25%_25%,s_i_25%_75%,s_i_75%_25%,s_i_75%_75%
sub1,1036.9166666666667,1106.75,1022,973.1818181818181,951.5714285714286,1090.3333333333333,1030.1666666666667,982.0909090909091,1035.0833333333333,1021.2222222222222,1049.9166666666667,1008.5,1030.1,1104.5,1125.2,1024
sub10,746.9166666666666,796.6363636363636,868.0909090909091,995.5,797.1818181818181,704.5833333333334,952.9090909090909,895.1818181818181,892.3333333333334,833.375,879.6666666666666,998.2222222222222,1076.8,932.8181818181819,895.5714285714286,1016.7272727272727
sub11,592.2,651.8333333333334,644.75,611.5833333333334,642.3636363636364,751.0909090909091,692.6363636363636,728.5833333333334,741.6666666666666,833.8333333333334,719.5454545454545,812.8181818181819,882.2,901.6666666666666,870.9090909090909,834.4166666666666
sub12,690.8333333333334,757.3333333333334,716.4166666666666,810.4166666666666,914.2222222222222,923.8333333333334,785.1666666666666,792.75,819.5,947.1666666666666,720.3333333333334,1042.6666666666667,889.3636363636364,962,894.8181818181819,845.5
sub13,831.6666666666666,876.4166666666666,907.75,907.4545454545455,925,929.375,1071.8333333333333,1059.2727272727273,909.5833333333334,864.4166666666666,865.0833333333334,1080.0833333333333,1055,931.4,1028,1133.125
sub14,925.25,1009.1666666666666,864,1087,1150.3,993,1016,1041.9,970.75,1048.75,877.6666666666666,988,1073.7,1024.909090909091,1001.7272727272727,998
sub15,937.4166666666666,1044.4545454545455,968.2,1081.909090909091,1000.625,1069.7,1030.8333333333333,1031,972.3333333333334,1088.7272727272727,1015.5833333333334,1109.6363636363637,1073.142857142857,1283,1069.4,1277
sub16,877.4166666666666,846.25,933.5833333333334,944.3636363636364,937.125,929.3636363636364,878,1022.6363636363636,803.1818181818181,919.6666666666666,920.5454545454545,1022.9090909090909,934.8571428571429,1010.2727272727273,1039.25,1030
sub17,1013.4545454545455,1031,1054.2727272727273,1204,1135,1046.3,1084,1088,1086.8,1123.2,1078,1256.25,1133.142857142857,1171.75,1017.3333333333334,1206
sub18,914.0909090909091,860.1111111111111,1012.2222222222222,1026.4545454545455,807.6666666666666,767.9166666666666,856.9166666666666,921.6363636363636,950.5833333333334,929.5833333333334,942.5454545454545,952.3333333333334,1063.8181818181818,964.3636363636364,1040.2727272727273,1028.1666666666667
sub19,909.5454545454545,978.5,959.5,955.3333333333334,1103.2727272727273,1074.090909090909,1101.3,1015.0909090909091,1047.7272727272727,955.3333333333334,870.4166666666666,972.25,1060.8,987.5,1161.888888888889,1077.8333333333333
sub2,957.9166666666666,1085.6,1043.5,1106.909090909091,1082,1176.5,1129.2222222222222,1158.090909090909,1115.5833333333333,1157.6666666666667,1134.3636363636363,1119.0833333333333,1214.6666666666667,1144.9166666666667,1086.625,1165.9
sub20,1019.6,971.2,938.125,1070.090909090909,1167.4444444444443,1025.7777777777778,1144,1221,1084.125,973.0833333333334,963.6363636363636,1145.111111111111,1081.8333333333333,1165.3,905.4,1229.5
sub21,881.25,851.5,862.1818181818181,906,1019.5,954.2,1094.909090909091,1092,939.25,960,915.3333333333334,893.6666666666666,1111.6,1050.4545454545455,1083,990.4166666666666
sub22,911.9166666666666,989.7272727272727,908.8333333333334,992.4166666666666,1003.1666666666666,1134.1818181818182,995.125,1086.9,979.1818181818181,946.1666666666666,896.9166666666666,918,986.1428571428571,1082.7272727272727,1081.3333333333333,1092.3
sub23,935.8333333333334,927.3333333333334,884.4166666666666,953,1024.8181818181818,950.5555555555555,983.375,938.1818181818181,996.7272727272727,947.0909090909091,955.3333333333334,937.0833333333334,1024.75,1065,1095.375,1048.4545454545455
sub24,907,919.7777777777778,936,1026.1818181818182,1058.8333333333333,974.7142857142857,1014,1027,1035.1818181818182,1119.4545454545455,1002.6,1104.888888888889,1001,1167,1031.1818181818182,1066.5555555555557
