subject,congruency,taskSequence,switchProp,incongruentProp,mean_RT
sub1,c,r,25%,25%,958.3131313131313
sub1,c,r,25%,75%,1081.8125
sub1,c,r,75%,25%,1005.0625
sub1,c,r,75%,75%,978.1739130434783
sub1,c,s,25%,25%,1006.8
sub1,c,s,25%,75%,1058.1
sub1,c,s,75%,25%,1020.3861386138614
sub1,c,s,75%,75%,1006.1875
sub1,i,r,25%,25%,929.5454545454545
sub1,i,r,25%,75%,1047.1326530612246
sub1,i,r,75%,25%,1004.5652173913044
sub1,i,r,75%,75%,993.2666666666667
sub1,i,s,25%,25%,1071.5294117647059
sub1,i,s,25%,75%,1095.3846153846155
sub1,i,s,75%,25%,1129
sub1,i,s,75%,75%,1034.2183908045977
sub10,c,r,25%,25%,704.7843137254902
sub10,c,r,25%,75%,782.9333333333333
sub10,c,r,75%,25%,868.2857142857143
sub10,c,r,75%,75%,919.875
sub10,c,s,25%,25%,924.75
sub10,c,s,25%,75%,915.3684210526316
sub10,c,s,75%,25%,844.5882352941177
sub10,c,s,75%,75%,983.5
sub10,i,r,25%,25%,779.8666666666667
sub10,i,r,25%,75%,742.0515463917526
sub10,i,r,75%,25%,899.1363636363636
sub10,i,r,75%,75%,849.3333333333334
sub10,i,s,25%,25%,1044.157894736842
sub10,i,s,25%,75%,952.2
sub10,i,s,75%,25%,853.8181818181819
sub10,i,s,75%,75%,990.8
sub11,c,r,25%,25%,619.5841584158416
sub11,c,r,25%,75%,622.25
sub11,c,r,75%,25%,654.25
sub11,c,r,75%,75%,639.8333333333334
sub11,c,s,25%,25%,753
sub11,c,s,25%,75%,785.8333333333334
sub11,c,s,75%,25%,731.76
sub11,c,s,75%,75%,805.5333333333333
sub11,i,r,25%,25%,654
sub11,i,r,25%,75%,654.47
sub11,i,r,75%,25%,735.2608695652174
sub11,i,r,75%,75%,722.5
sub11,i,s,25%,25%,860.3809523809524
sub11,i,s,25%,75%,876.9375
sub11,i,s,75%,25%,883.2857142857143
sub11,i,s,75%,75%,865.6734693877551
sub12,c,r,25%,25%,638.6601941747573
sub12,c,r,25%,75%,769.3125
sub12,c,r,75%,25%,708.625
sub12,c,r,75%,75%,857.7083333333334
sub12,c,s,25%,25%,784.5
sub12,c,s,25%,75%,997.9565217391304
sub12,c,s,75%,25%,701.7766990291262
sub12,c,s,75%,75%,1059.9375
sub12,i,r,25%,25%,909.1538461538462
sub12,i,r,25%,75%,762.795918367347
sub12,i,r,75%,25%,770.3333333333334
sub12,i,r,75%,75%,877.3125
sub12,i,s,25%,25%,948.0909090909091
sub12,i,s,25%,75%,995.0714285714286
sub12,i,s,75%,25%,835.3571428571429
sub12,i,s,75%,75%,887.4148936170212
sub13,c,r,25%,25%,891.2755102040817
sub13,c,r,25%,75%,886.625
sub13,c,r,75%,25%,896.6875
sub13,c,r,75%,75%,925.1818181818181
sub13,c,s,25%,25%,911.5625
sub13,c,s,25%,75%,884.75
sub13,c,s,75%,25%,904.7425742574258
sub13,c,s,75%,75%,1061.8125
sub13,i,r,25%,25%,954.3571428571429
sub13,i,r,25%,75%,953.4146341463414
sub13,i,r,75%,25%,1021
sub13,i,r,75%,75%,1025.0714285714287
sub13,i,s,25%,25%,1016.1875
sub13,i,s,25%,75%,1006.2307692307693
sub13,i,s,75%,25%,1033.2857142857142
sub13,i,s,75%,75%,1035.6823529411765
sub14,c,r,25%,25%,905.1747572815534
sub14,c,r,25%,75%,1034.125
sub14,c,r,75%,25%,869.75
sub14,c,r,75%,75%,1087.15
sub14,c,s,25%,25%,965
sub14,c,s,25%,75%,1008.8260869565217
sub14,c,s,75%,25%,878.5841584158416
sub14,c,s,75%,75%,1032.4285714285713
sub14,i,r,25%,25%,1128.5833333333333
sub14,i,r,25%,75%,1022.9381443298969
sub14,i,r,75%,25%,998.4
sub14,i,r,75%,75%,1052.6153846153845
sub14,i,s,25%,25%,1088.7894736842106
sub14,i,s,25%,75%,1056
sub14,i,s,75%,25%,1007.9333333333333
sub14,i,s,75%,75%,1033.9444444444443
sub15,c,r,25%,25%,933
sub15,c,r,25%,75%,1038.6666666666667
sub15,c,r,75%,25%,945
sub15,c,r,75%,75%,1060.0454545454545
sub15,c,s,25%,25%,960.1875
sub15,c,s,25%,75%,1050.3809523809523
sub15,c,s,75%,25%,974.1875
sub15,c,s,75%,75%,1066.4
sub15,i,r,25%,25%,998.3636363636364
sub15,i,r,25%,75%,1077.3625
sub15,i,r,75%,25%,1025.2666666666667
sub15,i,r,75%,75%,1071.8333333333333
sub15,i,s,25%,25%,1093.2727272727273
sub15,i,s,25%,75%,1278.2
sub15,i,s,75%,25%,1054.9166666666667
sub15,i,s,75%,75%,1143.5142857142857
sub16,c,r,25%,25%,837.1979166666666
sub16,c,r,25%,75%,866.875
sub16,c,r,75%,25%,915.5625
sub16,c,r,75%,75%,943.1363636363636
sub16,c,s,25%,25%,831.9285714285714
sub16,c,s,25%,75%,894
sub16,c,s,75%,25%,933.1855670103092
sub16,c,s,75%,75%,1032.142857142857
sub16,i,r,25%,25%,917.8181818181819
sub16,i,r,25%,75%,915.2
sub16,i,r,75%,25%,936.2272727272727
sub16,i,r,75%,75%,990.7857142857143
sub16,i,s,25%,25%,1009.5294117647059
