subject,congruency,taskSequence,switchProp,incongruentProp,mean_RT,sem
sub1,c,r,25%,25%,1036.9166666666667,40.48240514424293
sub1,c,r,25%,75%,1106.75,49.59748970309369
sub1,c,r,75%,25%,1022,42.333989496227105
sub1,c,r,75%,75%,973.1818181818181,35.87574976899582
sub1,c,s,25%,25%,1035.0833333333333,32.68593857927413
sub1,c,s,25%,75%,1021.2222222222222,48.930159348066304
sub1,c,s,75%,25%,1049.9166666666667,30.62615695608886
sub1,c,s,75%,75%,1008.5,31.378312332700194
sub1,i,r,25%,25%,951.5714285714286,34.30039368291159
sub1,i,r,25%,75%,1090.3333333333333,46.96990224784077
sub1,i,r,75%,25%,1030.1666666666667,24.242410037874627
sub1,i,r,75%,75%,982.0909090909091,38.866778182414244
sub1,i,s,25%,25%,1030.1,31.642253747516502
sub1,i,s,25%,75%,1104.5,42.450821219644524
sub1,i,s,75%,25%,1125.2,39.34739861512801
sub1,i,s,75%,75%,1024,35.49960876153739
sub10,c,r,25%,25%,746.9166666666666,76.35210087535776
sub10,c,r,25%,75%,796.6363636363636,43.333017587321805
sub10,c,r,75%,25%,868.0909090909091,57.79469219816809
sub10,c,r,75%,75%,995.5,67.07204403407646
sub10,c,s,25%,25%,892.3333333333334,36.17116994725959
sub10,c,s,25%,75%,833.375,73.62621269920497
sub10,c,s,75%,25%,879.6666666666666,50.30502916802613
sub10,c,s,75%,75%,998.2222222222222,58.401098205469886
sub10,i,r,25%,25%,797.1818181818181,66.98694827852229
sub10,i,r,25%,75%,704.5833333333334,65.99718294416556
sub10,i,r,75%,25%,952.9090909090909,57.65295144151212
sub10,i,r,75%,75%,895.1818181818181,55.43642028680131
sub10,i,s,25%,25%,1076.8,52.550039644767786
sub10,i,s,25%,75%,932.8181818181819,71.2645287492399
sub10,i,s,75%,25%,895.5714285714286,104.60329985299725
sub10,i,s,75%,75%,1016.7272727272727,63.75123398578842
sub11,c,r,25%,25%,592.2,29.037064436872935
sub11,c,r,25%,75%,651.8333333333334,44.60412287869562
sub11,c,r,75%,25%,644.75,38.35166722305406
sub11,c,r,75%,75%,611.5833333333334,28.111643854495956
sub11,c,s,25%,25%,741.6666666666666,37.471841279671445
sub11,c,s,25%,75%,833.8333333333334,42.397440126650686
sub11,c,s,75%,25%,719.5454545454545,29.656323451519697
sub11,c,s,75%,75%,812.8181818181819,43.77999090116152
sub11,i,r,25%,25%,642.3636363636364,36.75280390720309
sub11,i,r,25%,75%,751.0909090909091,52.59492795204678
sub11,i,r,75%,25%,692.6363636363636,28.727013807809012
sub11,i,r,75%,75%,728.5833333333334,67.96617455645408
sub11,i,s,25%,25%,882.2,66.01158147544179
sub11,i,s,25%,75%,901.6666666666666,51.04978754197521
sub11,i,s,75%,25%,870.9090909090909,36.530797603579906
sub11,i,s,75%,75%,834.4166666666666,40.11828313143698
sub12,c,r,25%,25%,690.8333333333334,63.33435007158358
sub12,c,r,25%,75%,757.3333333333334,49.36848665644386
sub12,c,r,75%,25%,716.4166666666666,56.72307241717822
sub12,c,r,75%,75%,810.4166666666666,52.844462789158406
sub12,c,s,25%,25%,819.5,86.6131682199128
sub12,c,s,25%,75%,947.1666666666666,62.03406118798565
sub12,c,s,75%,25%,720.3333333333334,48.15620626689982
sub12,c,s,75%,75%,1042.6666666666667,67.07055684843833
sub12,i,r,25%,25%,914.2222222222222,105.78027249625855
sub12,i,r,25%,75%,923.8333333333334,63.67029578741225
sub12,i,r,75%,25%,785.1666666666666,71.58432549494098
sub12,i,r,75%,75%,792.75,51.98690467392493
sub12,i,s,25%,25%,889.3636363636364,60.247862689706146
sub12,i,s,25%,75%,962,55.16762335524947
sub12,i,s,75%,25%,894.8181818181819,54.35151886843444
sub12,i,s,75%,75%,845.5,61.51379495444068
sub13,c,r,25%,25%,831.6666666666666,25.268357663091187
sub13,c,r,25%,75%,876.4166666666666,24.942193268646307
sub13,c,r,75%,25%,907.75,49.63520332476648
sub13,c,r,75%,75%,907.4545454545455,44.70903175714228
sub13,c,s,25%,25%,909.5833333333334,32.68732919494938
sub13,c,s,25%,75%,864.4166666666666,33.59889480806225
sub13,c,s,75%,25%,865.0833333333334,46.07001561084865
sub13,c,s,75%,75%,1080.0833333333333,77.29493479164366
sub13,i,r,25%,25%,925,35.116314663636835
sub13,i,r,25%,75%,929.375,56.12865880533503
sub13,i,r,75%,25%,1071.8333333333333,68.80620934511975
sub13,i,r,75%,75%,1059.2727272727273,64.98966224213746
sub13,i,s,25%,25%,1055,44.09810491555002
sub13,i,s,25%,75%,931.4,30.63773998047361
sub13,i,s,75%,25%,1028,121.09376532257969
sub13,i,s,75%,75%,1133.125,65.64227663741453
sub14,c,r,25%,25%,925.25,32.084435242785325
sub14,c,r,25%,75%,1009.1666666666666,50.322118959416414
sub14,c,r,75%,25%,864,21.532216876958202
sub14,c,r,75%,75%,1087,56.954048463332576
sub14,c,s,25%,25%,970.75,50.84783076926089
sub14,c,s,25%,75%,1048.75,43.0653353181025
sub14,c,s,75%,25%,877.6666666666666,17.862409035895933
sub14,c,s,75%,75%,988,37.600773686430735
sub14,i,r,25%,25%,1150.3,57.39745445381508
sub14,i,r,25%,75%,993,45.7600019425019
sub14,i,r,75%,25%,1016,44.78442189472187
sub14,i,r,75%,75%,1041.9,34.06479120734486
sub14,i,s,25%,25%,1073.7,46.433476908129315
sub14,i,s,25%,75%,1024.909090909091,54.790419624644485
sub14,i,s,75%,25%,1001.7272727272727,30.534359456815476
sub14,i,s,75%,75%,998,21.061286232748888
sub15,c,r,25%,25%,937.4166666666666,25.37550069168164
sub15,c,r,25%,75%,1044.4545454545455,50.82686541519047
sub15,c,r,75%,25%,968.2,40.965785181728855
sub15,c,r,75%,75%,1081.909090909091,44.711286869801896
sub15,c,s,25%,25%,972.3333333333334,45.488482280705085
sub15,c,s,25%,75%,1088.7272727272727,29.790508222675374
sub15,c,s,75%,25%,1015.5833333333334,49.83221215927373
sub15,c,s,75%,75%,1109.6363636363637,50.477947070932544
sub15,i,r,25%,25%,1000.625,29.081128822166246
sub15,i,r,25%,75%,1069.7,55.969048986421456
sub15,i,r,75%,25%,1030.8333333333333,51.25649010396418
sub15,i,r,75%,75%,1031,34.20630685372843
sub15,i,s,25%,25%,1073.142857142857,97.53861959718914
sub15,i,s,25%,75%,1283,38.07792761467687
sub15,i,s,75%,25%,1069.4,53.98275444785842
sub15,i,s,75%,75%,1277,72.98173287428392
sub16,c,r,25%,25%,877.4166666666666,47.04534536170417
sub16,c,r,25%,75%,846.25,32.14223243741178
sub16,c,r,75%,25%,933.5833333333334,61.60817762687881
sub16,c,r,75%,75%,944.3636363636364,47.96556960746526
sub16,c,s,25%,25%,803.1818181818181,26.21929136474557
sub16,c,s,25%,75%,919.6666666666666,63.872663728054846
sub16,c,s,75%,25%,920.5454545454545,67.71321391606645
sub16,c,s,75%,75%,1022.9090909090909,51.03340341837697
sub16,i,r,25%,25%,937.125,32.679415484805894
sub16,i,r,25%,75%,929.3636363636364,39.420408357110176
sub16,i,r,75%,25%,878,54.4305878058366
sub16,i,r,75%,75%,1022.6363636363636,58.49899342215179
sub16,i,s,25%,25%,934.8571428571429,42.01667955162827
sub16,i,s,25%,75%,1010.2727272727273,54.65380148286966
sub16,i,s,75%,25%,1039.25,61.21442115337576
sub16,i,s,75%,75%,1030,64.86738608713763
sub17,c,r,25%,25%,1013.4545454545455,50.065114625648654
sub17,c,r,25%,75%,1031,45.33063717472618
sub17,c,r,75%,25%,1054.2727272727273,52.15921271524696
sub17,c,r,75%,75%,1204,81.63857631571696
sub17,c,s,25%,25%,1086.8,52.74146587100345
sub17,c,s,25%,75%,1123.2,95.51094178155714
sub17,c,s,75%,25%,1078,38.432046812812644
sub17,c,s,75%,75%,1256.25,66.51067314993243
sub17,i,r,25%,25%,1135,61.24036102262803
sub17,i,r,25%,75%,1046.3,44.91870434462685
sub17,i,r,75%,25%,1084,54.46762545055753
sub17,i,r,75%,75%,1088,47.068615291450264
sub17,i,s,25%,25%,1133.142857142857,57.629534661544184
sub17,i,s,25%,75%,1171.75,42.65828368167977
sub17,i,s,75%,25%,1017.3333333333334,72.06740671837105
sub17,i,s,75%,75%,1206,46.02272166105465
sub18,c,r,25%,25%,914.0909090909091,61.30763774833435
sub18,c,r,25%,75%,860.1111111111111,87.6711729583974
sub18,c,r,75%,25%,1012.2222222222222,55.301139675260906
sub18,c,r,75%,75%,1026.4545454545455,52.59854191486916
sub18,c,s,25%,25%,950.5833333333334,27.306747510385776
sub18,c,s,25%,75%,929.5833333333334,33.334498085710884
sub18,c,s,75%,25%,942.5454545454545,30.66604982012271
sub18,c,s,75%,75%,952.3333333333334,38.93610409401796
sub18,i,r,25%,25%,807.6666666666666,50.55335215533599
sub18,i,r,25%,75%,767.9166666666666,40.74801693135979
sub18,i,r,75%,25%,856.9166666666666,56.85247500453621
sub18,i,r,75%,75%,921.6363636363636,63.81197846048438
sub18,i,s,25%,25%,1063.8181818181818,33.77568199481509
sub18,i,s,25%,75%,964.3636363636364,56.8803005885282
sub18,i,s,75%,25%,1040.2727272727273,41.248270687517845
sub18,i,s,75%,75%,1028.1666666666667,33.126669959811274
sub19,c,r,25%,25%,909.5454545454545,41.272787344770066
sub19,c,r,25%,75%,978.5,33.524640417930144
sub19,c,r,75%,25%,959.5,42.61712914978785
sub19,c,r,75%,75%,955.3333333333334,57.7052769675269
sub19,c,s,25%,25%,1047.7272727272727,48.222041529327626
sub19,c,s,25%,75%,955.3333333333334,49.24449412899073
sub19,c,s,75%,25%,870.4166666666666,32.11566650956407
sub19,c,s,75%,75%,972.25,38.04206702633762
