subject,block,blockType,trialCount,acc,RT,congruency,cuedTask,taskSequence,sequenceType,sequenceKind,sequencePosition,switchProp,incongruentProp
sub1,1,A,7,1,823,c,m,s,s,4,2,25%,75%
sub1,1,A,8,1,834,i,m,r,s,4,3,25%,75%
sub1,1,A,9,1,1059,i,m,r,s,4,4,25%,75%
sub1,1,A,16,1,1223,c,m,s,s,3,2,25%,75%
sub1,1,A,17,1,1062,i,m,r,s,3,3,25%,75%
sub1,1,A,18,0,1046,c,p,s,s,3,4,25%,75%
sub1,1,A,24,1,1106,c,p,r,s,1,2,25%,75%
sub1,1,A,25,1,1058,i,m,s,s,1,3,25%,75%
sub1,1,A,26,1,1193,c,m,r,s,1,4,25%,75%
sub1,1,A,34,1,1030,c,m,r,s,2,2,25%,75%
sub1,1,A,35,1,1204,i,p,s,s,2,3,25%,75%
sub1,1,A,36,1,1106,i,m,s,s,2,4,25%,75%
sub1,1,A,44,1,892,c,m,r,s,1,2,25%,75%
sub1,1,A,45,1,1220,i,p,s,s,1,3,25%,75%
sub1,1,A,46,1,1472,c,p,r,s,1,4,25%,75%
sub1,1,A,54,1,1124,c,p,s,s,4,2,25%,75%
sub1,1,A,55,1,998,i,p,r,s,4,3,25%,75%
sub1,1,A,56,1,1013,i,p,r,s,4,4,25%,75%
sub1,1,A,64,1,1102,c,p,r,s,1,2,25%,75%
sub1,1,A,65,1,990,i,m,s,s,1,3,25%,75%
sub1,1,A,66,1,1077,c,m,r,s,1,4,25%,75%
sub1,1,A,74,1,1094,c,p,r,s,2,2,25%,75%
sub1,1,A,75,1,1052,i,m,s,s,2,3,25%,75%
sub1,1,A,76,1,1256,i,p,s,s,2,4,25%,75%
sub1,1,A,84,1,1037,c,p,r,s,2,2,25%,75%
sub1,1,A,85,1,980,i,m,s,s,2,3,25%,75%
sub1,1,A,86,0,1121,i,p,s,s,2,4,25%,75%
sub1,1,A,94,1,940,c,m,s,s,4,2,25%,75%
sub1,1,A,95,1,1262,i,m,r,s,4,3,25%,75%
sub1,1,A,96,1,1109,i,m,r,s,4,4,25%,75%
sub1,1,A,104,1,1378,c,m,r,s,1,2,25%,75%
sub1,1,A,105,0,908,i,p,s,s,1,3,25%,75%
sub1,1,A,106,1,910,c,p,r,s,1,4,25%,75%
sub1,1,A,114,1,1067,c,p,s,s,4,2,25%,75%
sub1,1,A,115,1,1032,i,p,r,s,4,3,25%,75%
sub1,1,A,116,1,913,i,p,r,s,4,4,25%,75%
sub1,1,A,124,0,1132,c,m,s,s,3,2,25%,75%
sub1,1,A,125,1,1450,i,m,r,s,3,3,25%,75%
sub1,1,A,126,0,NA,c,p,s,s,3,4,25%,75%
sub1,1,A,134,1,990,c,m,r,s,2,2,25%,75%
sub1,1,A,135,1,1292,i,p,s,s,2,3,25%,75%
sub1,1,A,136,1,887,i,m,s,s,2,4,25%,75%
sub1,1,A,144,1,1047,c,p,s,s,3,2,25%,75%
sub1,1,A,145,1,1160,i,p,r,s,3,3,25%,75%
sub1,1,A,146,1,914,c,m,s,s,3,4,25%,75%
sub1,1,A,153,1,1201,c,p,s,s,3,2,25%,75%
sub1,1,A,154,1,1192,i,p,r,s,3,3,25%,75%
