subject,r_c_25%_25%,r_c_25%_75%,r_c_75%_25%,r_c_75%_75%,r_i_25%_25%,r_i_25%_75%,r_i_75%_25%,r_i_75%_75%,s_c_25%_25%,s_c_25%_75%,s_c_75%_25%,s_c_75%_75%,s_i_25%_25%,s_i_25%_75%,s_i_75%_25%,s_i_75%_75%
sub1,1,1,1,0.9166666666666666,0.5833333333333334,1,1,0.9166666666666666,1,0.75,1,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.75
sub10,1,0.9166666666666666,0.9166666666666666,1,0.9166666666666666,1,0.9166666666666666,0.9166666666666666,1,0.6666666666666666,1,0.75,0.8333333333333334,0.9166666666666666,0.5833333333333334,0.9166666666666666
sub11,0.8333333333333334,1,1,1,0.9166666666666666,0.9166666666666666,0.9166666666666666,1,0.75,1,0.9166666666666666,0.9166666666666666,0.8333333333333334,1,0.9166666666666666,1
sub12,1,1,1,1,0.75,1,1,1,1,1,1,1,0.9166666666666666,0.8333333333333334,0.9166666666666666,1
sub13,1,1,1,0.9166666666666666,0.8333333333333334,0.6666666666666666,0.5,0.9166666666666666,1,1,1,1,0.6666666666666666,0.8333333333333334,0.4166666666666667,0.6666666666666666
sub14,1,1,1,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1,1,1,1,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.8333333333333334
sub15,1,1,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.8333333333333334,0.5,0.6666666666666666,1,0.9166666666666666,1,0.9166666666666666,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.5
sub16,1,1,1,0.9166666666666666,0.6666666666666666,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.9166666666666666,1,0.9166666666666666,0.9166666666666666,0.5833333333333334,0.9166666666666666,0.6666666666666666,0.8333333333333334
sub17,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.5833333333333334,0.9166666666666666,0.8333333333333334,0.75,0.9166666666666666,0.8333333333333334,0.4166666666666667,0.8333333333333334,0.75,0.5833333333333334,0.3333333333333333,0.5,0.9166666666666666
sub18,0.9166666666666666,0.75,0.8333333333333334,0.9166666666666666,1,1,1,0.9166666666666666,1,1,0.9166666666666666,1,0.9166666666666666,0.9166666666666666,0.9166666666666666,1
sub19,0.9166666666666666,1,1,1,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.9166666666666666,1,1,1,0.8333333333333334,0.8333333333333334,0.75,1
sub2,1,0.9166666666666666,1,1,1,1,0.75,0.9166666666666666,1,1,0.9166666666666666,1,0.75,1,0.6666666666666666,0.8333333333333334
sub20,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.9166666666666666,0.75,0.75,0.4166666666666667,0.5833333333333334,0.6666666666666666,1,0.9166666666666666,0.75,0.5,0.8333333333333334,0.4166666666666667,0.5
sub21,1,1,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.8333333333333334,0.9166666666666666,1,1,0.9166666666666666,1,1,0.8333333333333334,0.9166666666666666,0.5,1
sub22,1,0.9166666666666666,1,1,0.5,0.9166666666666666,0.6666666666666666,0.8333333333333334,0.9166666666666666,1,1,0.9166666666666666,0.5833333333333334,0.9166666666666666,0.75,0.8333333333333334
sub23,1,1,1,0.9166666666666666,0.9166666666666666,0.75,0.6666666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,1,1,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.9166666666666666
sub24,1,0.75,0.8333333333333334,0.9166666666666666,1,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.75,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.75
sub25,0.9166666666666666,0.9166666666666666,1,1,0.3333333333333333,0.9166666666666666,0.5,0.6666666666666666,0.9166666666666666,1,0.9166666666666666,0.8333333333333334,0.5,0.8333333333333334,0.3333333333333333,0.5833333333333334
sub26,1,1,1,0.8333333333333334,0.6666666666666666,0.75,0.75,0.5,1,0.9166666666666666,1,0.8333333333333334,0.5833333333333334,0.9166666666666666,0.5833333333333334,0.6666666666666666
sub27,1,1,1,1,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.8333333333333334,1,1,1,1,0.75,0.9166666666666666,0.75,0.9166666666666666
sub28,1,1,0.9166666666666666,1,0.75,1,0.75,1,1,0.9166666666666666,1,1,1,1,0.8333333333333334,0.8333333333333334
sub29,1,0.8333333333333334,1,0.9166666666666666,0.75,0.5,0.3333333333333333,0.8333333333333334,1,0.9166666666666666,0.9166666666666666,1,0.6666666666666666,0.4166666666666667,0.4166666666666667,0.75
sub3,1,1,0.9166666666666666,0.9166666666666666,0.5,0.8333333333333334,0.5833333333333334,0.75,0.9166666666666666,1,0.9166666666666666,1,0.75,0.75,0.5833333333333334,0.75
