subject,congruency,taskSequence,switchProp,incongruentProp,mean_acc
sub1,c,r,25%,25%,0.970873786407767
sub1,c,r,25%,75%,1
sub1,c,r,75%,25%,1
sub1,c,r,75%,75%,0.9583333333333334
sub1,c,s,25%,25%,0.9375
sub1,c,s,25%,75%,0.8333333333333334
sub1,c,s,75%,25%,0.9805825242718447
sub1,c,s,75%,75%,1
sub1,i,r,25%,25%,0.6875
sub1,i,r,25%,75%,0.9514563106796117
sub1,i,r,75%,25%,0.9583333333333334
sub1,i,r,75%,75%,0.9375
sub1,i,s,25%,25%,0.7083333333333334
sub1,i,s,25%,75%,0.8125
sub1,i,s,75%,25%,0.8125
sub1,i,s,75%,75%,0.8446601941747572
sub10,c,r,25%,25%,0.9902912621359223
sub10,c,r,25%,75%,0.9375
sub10,c,r,75%,25%,0.875
sub10,c,r,75%,75%,1
sub10,c,s,25%,25%,1
sub10,c,s,25%,75%,0.7916666666666666
sub10,c,s,75%,25%,0.9902912621359223
sub10,c,s,75%,75%,0.75
sub10,i,r,25%,25%,0.9375
sub10,i,r,25%,75%,0.941747572815534
sub10,i,r,75%,25%,0.9166666666666666
sub10,i,r,75%,75%,0.9375
sub10,i,s,25%,25%,0.7916666666666666
sub10,i,s,25%,75%,0.9375
sub10,i,s,75%,25%,0.6875
sub10,i,s,75%,75%,0.8737864077669902
sub11,c,r,25%,25%,0.9805825242718447
sub11,c,r,25%,75%,1
sub11,c,r,75%,25%,1
sub11,c,r,75%,75%,1
sub11,c,s,25%,25%,0.8125
sub11,c,s,25%,75%,1
sub11,c,s,75%,25%,0.970873786407767
sub11,c,s,75%,75%,0.9375
sub11,i,r,25%,25%,0.9375
sub11,i,r,25%,75%,0.970873786407767
sub11,i,r,75%,25%,0.9583333333333334
sub11,i,r,75%,75%,1
sub11,i,s,25%,25%,0.875
sub11,i,s,25%,75%,1
sub11,i,s,75%,25%,0.875
sub11,i,s,75%,75%,0.9514563106796117
sub12,c,r,25%,25%,1
sub12,c,r,25%,75%,1
sub12,c,r,75%,25%,1
sub12,c,r,75%,75%,1
sub12,c,s,25%,25%,1
sub12,c,s,25%,75%,0.9583333333333334
sub12,c,s,75%,25%,1
sub12,c,s,75%,75%,1
sub12,i,r,25%,25%,0.8125
sub12,i,r,25%,75%,0.9514563106796117
sub12,i,r,75%,25%,1
sub12,i,r,75%,75%,1
sub12,i,s,25%,25%,0.9166666666666666
