subject,congruency,taskSequence,switchProp,incongruentProp,mean_acc
sub1,c,r,25%,25%,1
sub1,c,r,25%,75%,1
sub1,c,r,75%,25%,1
sub1,c,r,75%,75%,0.9166666666666666
sub1,c,s,25%,25%,1
sub1,c,s,25%,75%,0.75
sub1,c,s,75%,25%,1
sub1,c,s,75%,75%,1
sub1,i,r,25%,25%,0.5833333333333334
sub1,i,r,25%,75%,1
sub1,i,r,75%,25%,1
sub1,i,r,75%,75%,0.9166666666666666
sub1,i,s,25%,25%,0.8333333333333334
sub1,i,s,25%,75%,0.8333333333333334
sub1,i,s,75%,25%,0.8333333333333334
sub1,i,s,75%,75%,0.75
sub10,c,r,25%,25%,1
sub10,c,r,25%,75%,0.9166666666666666
sub10,c,r,75%,25%,0.9166666666666666
sub10,c,r,75%,75%,1
sub10,c,s,25%,25%,1
sub10,c,s,25%,75%,0.6666666666666666
sub10,c,s,75%,25%,1
sub10,c,s,75%,75%,0.75
sub10,i,r,25%,25%,0.9166666666666666
sub10,i,r,25%,75%,1
sub10,i,r,75%,25%,0.9166666666666666
sub10,i,r,75%,75%,0.9166666666666666
sub10,i,s,25%,25%,0.8333333333333334
sub10,i,s,25%,75%,0.9166666666666666
sub10,i,s,75%,25%,0.5833333333333334
sub10,i,s,75%,75%,0.9166666666666666
sub11,c,r,25%,25%,0.8333333333333334
sub11,c,r,25%,75%,1
sub11,c,r,75%,25%,1
sub11,c,r,75%,75%,1
sub11,c,s,25%,25%,0.75
sub11,c,s,25%,75%,1
sub11,c,s,75%,25%,0.9166666666666666
sub11,c,s,75%,75%,0.9166666666666666
sub11,i,r,25%,25%,0.9166666666666666
sub11,i,r,25%,75%,0.9166666666666666
sub11,i,r,75%,25%,0.9166666666666666
sub11,i,r,75%,75%,1
sub11,i,s,25%,25%,0.8333333333333334
sub11,i,s,25%,75%,1
sub11,i,s,75%,25%,0.9166666666666666
sub11,i,s,75%,75%,1
sub12,c,r,25%,25%,1
sub12,c,r,25%,75%,1
sub12,c,r,75%,25%,1
sub12,c,r,75%,75%,1
sub12,c,s,25%,25%,1
sub12,c,s,25%,75%,1
sub12,c,s,75%,25%,1
sub12,c,s,75%,75%,1
sub12,i,r,25%,25%,0.75
sub12,i,r,25%,75%,1
sub12,i,r,75%,25%,1
sub12,i,r,75%,75%,1
sub12,i,s,25%,25%,0.9166666666666666
sub12,i,s,25%,75%,0.8333333333333334
sub12,i,s,75%,25%,0.9166666666666666
sub12,i,s,75%,75%,1
sub13,c,r,25%,25%,1
