subject,r_d_25%_25%,r_d_25%_75%,r_d_75%_25%,r_d_75%_75%,r_n_25%_25%,r_n_25%_75%,r_n_75%_25%,r_n_75%_75%,s_d_25%_25%,s_d_25%_75%,s_d_75%_25%,s_d_75%_75%,s_n_25%_25%,s_n_25%_75%,s_n_75%_25%,s_n_75%_75%
sub1,1185.2666666666667,861.1188118811881,1020.5652173913044,967.8125,891.7070707070707,826.4,925.1875,831.4166666666666,1320,1056,1128.9333333333334,1049.204081632653,1073.857142857143,966.6818181818181,947.75,959.1875
sub10,1501.8461538461538,1560.1546391752577,1536.8695652173913,1579.5,1328.0707070707072,1625.142857142857,1444.5333333333333,1517.3333333333333,1530.608695652174,1708.4615384615386,1707.5333333333333,1599.5353535353536,1463.1333333333334,1727.842105263158,1557.8817204301076,1589.1875
sub11,1454.3,1434.6315789473683,1458.9333333333334,1408.6666666666667,1357.4583333333333,1447.357142857143,1580.75,1340.4705882352941,1466.25,1655,1317.888888888889,1515.013698630137,1504.375,1570.5263157894738,1399.8947368421052,1351.142857142857
sub12,1574,1414.3921568627452,1519.5454545454545,1727.0714285714287,1506.7843137254902,1384.8,1486.7333333333333,1508.1666666666667,1862.095238095238,1528.357142857143,1698.5714285714287,1742.7386363636363,1659.8666666666666,1470.5,1517.4536082474226,1662.6666666666667
sub13,1187.4375,1381.8315789473684,1370.875,1376.25,1098.0196078431372,1210.75,1196.3333333333333,1330.695652173913,1447,1533.4545454545455,1561.125,1469.7623762376238,1266.5714285714287,1560.5454545454545,1354.01,1316.2142857142858
sub14,948.7333333333333,1291.712643678161,1124.4166666666667,1122.7333333333333,856.1157894736842,1030.75,921.9375,1104.1739130434783,1163.6,1270.7857142857142,961.5,1192.9135802469136,878.4,1212.5333333333333,1092.4623655913979,1175.2307692307693
sub15,1339.4666666666667,922.3473684210526,1430.5652173913043,1414.0625,904.5257731958762,783.8125,1156,1165.7391304347825,1328.7272727272727,1092.4,1367.9375,1302.7676767676767,1175.7333333333333,987.5,1172.9019607843138,1241.1875
sub16,1316.0625,1012.63,1256.9565217391305,1163.4375,1167.137254901961,866.875,1277.5,1084,1625.9545454545455,1133.5,1317.75,1198.4117647058824,1250.357142857143,1054.0416666666667,1198.1443298969073,1082.8125
sub17,814.9285714285714,817.3263157894737,1134.7894736842106,1013.6666666666666,744.7311827956989,797.6428571428571,895.0666666666667,625.6190476190476,821.4782608695652,930.0769230769231,1159.857142857143,816.8023255813954,826.4285714285714,924.3913043478261,1104.0344827586207,834.3333333333334
sub18,1148.0625,1130.2621359223301,1315.0416666666667,1103,960.7843137254902,1044.125,1064.1875,953.5416666666666,1179.125,1216.5625,1330.1875,1130.32,1095.1333333333334,1185.7142857142858,1184.6930693069307,1101.6875
sub19,1191,1204.298969072165,1333.304347826087,1167.7333333333333,1158.6516853932585,1189,1128.1538461538462,1056.2,1392.095238095238,1313.8666666666666,1301.2142857142858,1170.0224719101125,1284.375,1243.65,1274.1739130434783,1122.3076923076924
sub2,1135.2,1021.990099009901,1319.9166666666667,1076.3333333333333,1002.4623655913979,1101.8125,978.1333333333333,1029,1244.85,1335.0666666666666,1217.7333333333333,1242.3473684210526,1139.6,1197.3157894736842,1138.20202020202,1210.857142857143
sub20,1425.0714285714287,1495.952380952381,1287.4782608695652,1481,1362.840425531915,1430.923076923077,1293.0625,1521.1818181818182,1503.8260869565217,1628.3636363636363,1456.8,1627.3820224719102,1535.5384615384614,1537.0555555555557,1374.1860465116279,1618.2142857142858
sub21,1206.9333333333334,1306.7254901960785,1304.2916666666667,1264.625,972.7864077669902,1192.375,1121.4375,1099.4347826086957,1204.25,1572.625,1336.9375,1350.2970297029703,1193.9375,1380.590909090909,1274.11,1294.25
sub22,1182,948.6831683168317,1275.5833333333333,906.6875,833.7549019607843,876.0625,1044.4,946.375,1177.0416666666667,1208,1288.6875,1152.5858585858587,1059.0625,1122.4347826086957,984.57,1052.8
sub23,1684,1446.625,1663.7727272727273,1612.6,1485.4653465346535,1507.2222222222222,1576.5625,1598.8333333333333,1768.090909090909,1582.909090909091,1679.8461538461538,1617.5526315789473,1585.4,1435.1176470588234,1621.8125,1544.8333333333333
sub24,1370.6666666666667,1368.2244897959183,1440.391304347826,1618.2666666666667,1227.2574257425742,1298.0666666666666,1289.9333333333334,1315.2727272727273,1399.909090909091,1583.2,1524,1475.236559139785,1426.3333333333333,1602.4166666666667,1390.2421052631578,1462.375
sub25,1052.875,985.2079207920792,1057.9583333333333,979.2142857142857,953.48,937.7333333333333,922.875,897.5217391304348,1139.1666666666667,1029.4666666666667,1157.9375,1088.7373737373737,1093.1875,1049.2272727272727,1025.56,1010.5625
sub26,935.875,773.4736842105264,735.695652173913,982.0666666666667,774.4444444444445,700.6666666666666,715.5333333333333,891.5833333333334,1041.391304347826,879.125,899.0714285714286,1065.3267326732673,894,831.6363636363636,774.4795918367347,924.6666666666666
sub27,1163.5714285714287,1359.20202020202,1533.125,1268.4,1166.6868686868686,1158.8,1283.75,1135.6521739130435,1591.5454545454545,1628.8333333333333,1519.5833333333333,1379.340425531915,1378.5714285714287,1433.3478260869565,1403.095744680851,1158.5333333333333
sub28,1433.2857142857142,1246.5529411764705,1202.125,990.6666666666666,1236.6888888888889,1214.6153846153845,1299.8,1130.5882352941176,1557.85,1334.0833333333333,1260.5,1142.2537313432836,1452.4375,1227.4,1309.989010989011,1016.5454545454545
sub29,1066.4,959.0980392156863,989.625,1272.6,1085.6565656565656,864.125,882.5625,1262.1304347826087,1209.2608695652175,1133.5625,1195.75,1317.278350515464,1065.4,1066.6363636363637,991.9901960784314,1222.125
sub3,1389.2142857142858,1641.4022988505747,1352.2857142857142,1458.4,1224.5,1587.642857142857,1341.6363636363637,1438.5454545454545,1381.4285714285713,1781,1542.5384615384614,1534.247191011236,1337.4166666666667,1618.85,1472.0898876404494,1475.923076923077
sub30,749.5333333333333,740.1262135922331,790.4545454545455,631.1875,642.5858585858585,661.625,816.5625,561.7272727272727,702.6086956521739,810,887.9285714285714,646.3125,650.5,774.65,799.67,618.375
sub31,1776.0666666666666,1230.71,1480.5454545454545,1268.7142857142858,1380.7835051546392,1219.9333333333334,1355.1875,1458.8181818181818,1775.9473684210527,1421.1538461538462,1632.6,1448.021505376344,1641.3333333333333,1312.6818181818182,1410.9591836734694,1264.8125
sub32,1347.6875,1358.6770833333333,1370.0454545454545,1693.5625,1339.1782178217823,1276.75,1170.6875,1467.7826086956522,1758.6521739130435,1507.5,1516.923076923077,1642.7529411764706,1615.8125,1487.5882352941176,1537.9032258064517,1484.5714285714287
sub33,1459.2666666666667,1514.53125,1809.0454545454545,1412.5333333333333,1387.7628865979382,1339.0666666666666,1555.0625,1446.45,1585.5,1742.8,1792.5714285714287,1637.989010989011,1616.0714285714287,1591.3478260869565,1601.9468085106382,1512.2857142857142
sub34,1594.7142857142858,1281.131868131868,1340.0555555555557,1813.5,1290.3877551020407,1287.6,1204.2307692307693,1486.5263157894738,1576,1696.357142857143,1343.875,1728.0862068965516,1451.5384615384614,1410.4375,1338.219512195122,1518.6363636363637
sub35,1075.5,1249.6451612903227,1143.75,1281.75,1099.5744680851064,1365,1162.2666666666667,1280.5454545454545,1127.7222222222222,1289.5333333333333,1269.7857142857142,1287.0515463917525,1146.5714285714287,1440.4285714285713,1250.340425531915,1355.6923076923076
sub36,1633.2307692307693,1552.9550561797753,1472.3333333333333,1504.7692307692307,1533.7931034482758,1380.75,1578.1538461538462,1565.2727272727273,1715.4444444444443,1550.0833333333333,1908.0833333333333,1663.035294117647,1740.5,1645.15,1606.453488372093,1604.0833333333333
sub37,921.9333333333333,759.2058823529412,791.7083333333334,901.9333333333333,771.58,775.75,693.375,927.875,1023,877.3125,874.0666666666667,1054.71,883.0666666666667,760.9166666666666,767.2828282828283,984.6
sub38,1167.0625,1183.1157894736841,1229.3333333333333,1436.1875,1047.8469387755101,996.8,1307.9285714285713,1262.4166666666667,1345.5,1095.25,1254.3333333333333,1272.141414141414,1040.75,1043.5217391304348,1153.2291666666667,1219.625
sub39,725.8125,752.1836734693877,802.952380952381,818.9375,679.9387755102041,671.4375,735.2,744.7391304347826,861.2083333333334,914.5625,803.2,886.7052631578947,769.2857142857143,812.2608695652174,776.6458333333334,870.7333333333333
sub4,957.125,1134.6796116504854,1099.5416666666667,1123.4375,909.6990291262136,859.1875,940.375,950.7391304347826,1086.75,1300.625,1336.25,1126.5728155339805,1013.9375,1153.4166666666667,1014.6990291262136,1064.75
sub40,933.8666666666667,952.1616161616162,1177.6521739130435,910.6875,881.1764705882352,875.6875,899.9375,864.3333333333334,1064.909090909091,1141.8,1095.8461538461538,1006.46875,1029.9375,1080.608695652174,1101.7821782178219,974.75
sub41,843.5,1025.47,1065.2272727272727,1035.0625,779.53,952.1875,844.375,858.1818181818181,1083.8333333333333,1236.8125,1128.5,1071.6979166666667,910.1428571428571,1186.7727272727273,918.4545454545455,971.625
sub42,1747.2,1397.5773195876288,1413.8636363636363,1976.142857142857,1399.3333333333333,1225.5,1270.9375,1768.85,1567.35,1560.0714285714287,1593.4285714285713,1945.8641975308642,1558.3333333333333,1413.695652173913,1355.215053763441,1837.75
sub43,1949.857142857143,1753.3854166666667,1939.3684210526317,1819.923076923077,1836.654761904762,1753.857142857143,1881.2307692307693,1889.111111111111,1976.8235294117646,1872.5,1852.357142857143,1904.2758620689656,1897.7777777777778,1882.4761904761904,1878.2333333333333,1881.0666666666666
sub44,859.8666666666667,898.1134020618557,1205.0434782608695,822.5,681.1111111111111,873,1079.3333333333333,770.5833333333334,1126.7,1056.0625,1367.8333333333333,838.84375,745.5,821.6086956521739,1191.5463917525774,729.5625
sub45,1266.0625,1409.2421052631578,1528.5555555555557,1478.5,1121.2626262626263,1159.2,1138.6666666666667,1165.909090909091,1392.3,1519.857142857143,1424.8666666666666,1430.8229166666667,1286.1875,1456.2,1442.7529411764706,1282.9285714285713
sub46,1726.5,1373.4257425742574,1645.5,1354.5333333333333,1521.0102040816328,1268.5625,1265,1249.5238095238096,1740.388888888889,1475.9333333333334,1676.2857142857142,1480.340425531915,1634.6,1335.695652173913,1484.7215189873418,1398
sub47,1352.625,1281.1958762886597,1435.4347826086957,1456.2666666666667,1145.0103092783504,1181.4666666666667,1376.6666666666667,1153.2083333333333,1330.7619047619048,1469.5,1381.7333333333333,1355.8105263157895,1270,1312.304347826087,1293.9285714285713,1157.6153846153845
sub48,1280.3125,1367.2087912087911,1434.4,1451.4615384615386,1241.010101010101,1371.7333333333333,1376.5714285714287,1258.2105263157894,1481.65,1476.4545454545455,1686.111111111111,1364.5696202531647,1368.4285714285713,1498.421052631579,1436.6744186046512,1332.9166666666667
sub49,1030,1000.6868686868687,1293.3181818181818,816.7272727272727,866.4795918367347,881.125,1088.1333333333334,756.9565217391304,1043.7727272727273,1020.2142857142857,1338.5625,896.561797752809,1027.5,1098.9,1212.9255319148936,731.9230769230769
sub5,1227.5333333333333,1131.9901960784314,1325.7727272727273,1095.125,989.7058823529412,946.875,952.6666666666666,863.0416666666666,1416.55,1147,1205.0625,1204.0882352941176,1120.0666666666666,939.2916666666666,1006.7941176470588,1013.5
sub50,1653.6923076923076,1617.4343434343434,1937.6315789473683,1468.4615384615386,1454.141414141414,1405.25,1767.7857142857142,1324.7,1831.2,1815,1948.4166666666667,1570.4186046511627,1769.642857142857,1692.6363636363637,1699.1348314606741,1360.1666666666667
sub51,1758,1633.2608695652175,1958.8181818181818,1688.2,1684.6315789473683,1385.8666666666666,1804.6,1553.5238095238096,1985.5,1899.2307692307693,1925.5,1749.906976744186,1820.7142857142858,1736.7619047619048,1764.0645161290322,1677.3333333333333
sub52,720.5625,643.4257425742575,729,647.75,662.1485148514852,698,676.1333333333333,631.875,866.8260869565217,776.875,768.5625,709.2178217821782,847,740.3913043478261,713,674.6875
sub53,1496.0833333333333,1391.1052631578948,1380.7142857142858,1970.2,1290.1444444444444,1171.625,1333.3125,1344.4583333333333,1562.4444444444443,1432.7142857142858,1600.3846153846155,1598.6703296703297,1420.3333333333333,1467.7727272727273,1449.8817204301076,1734.2666666666667
sub54,998.2857142857143,1212.45,1259,1280.5714285714287,940.1111111111111,1260.2857142857142,1036.5,1272.2380952380952,985.8571428571429,1545.142857142857,1255.4545454545455,1432.4,949.4,1311.4347826086957,1222.3076923076924,1323.2666666666667
sub55,841.1333333333333,1027.3069306930693,1000.125,958.0625,717.57,868.5714285714286,1044.5333333333333,960.8333333333334,872.25,1177.875,1221.875,1087.3877551020407,822.875,1047.7272727272727,1129.2886597938145,1041.7333333333333
sub56,1425.6875,1538.9368421052632,1581.2105263157894,1377,1247.6666666666667,1304.625,1452.875,1275.090909090909,1525.85,1495.142857142857,1460.642857142857,1462.7684210526315,1503.7333333333333,1385.75,1464.9489795918366,1401.2142857142858
sub57,1053.5333333333333,965.1862745098039,1099.8333333333333,1185.7857142857142,935,853.4375,949.0666666666667,1074.125,1143.6666666666667,1072.8666666666666,1246.125,1250.4948453608247,1105.2666666666667,1044.5,1106.48,1071
sub58,1554.642857142857,1330.3469387755101,1488,1408.375,1410.3229166666667,1310.4285714285713,1449.2666666666667,1384.4285714285713,1645.4,1495,1575,1541.8181818181818,1546.1333333333334,1316,1482.52688172043,1356.375
sub59,803.0666666666667,1007.8910891089109,839.0869565217391,786.625,742.234693877551,1073.9285714285713,751.2142857142857,749.304347826087,968.5217391304348,1196.8666666666666,1133.1333333333334,936.8673469387755,760.6666666666666,1209.7272727272727,802.5959595959596,987.6666666666666
sub6,760.125,979.8936170212766,786.625,932.9285714285714,677.3168316831683,767.4666666666667,759.8,794.4761904761905,814.8695652173913,960.1666666666666,815.5625,843.5510204081633,731.75,1126.2380952380952,743.55,922.2666666666667
sub60,1286.3333333333333,1075.3,1301,1269.375,1223.1666666666667,1325.0666666666666,1356.6,1238.857142857143,1403.1363636363637,1206.8666666666666,1334.4666666666667,1293.6521739130435,1366.923076923077,1210.047619047619,1341.7701149425288,1284.857142857143
sub7,994.4,1042.040404040404,1279.5,915.1333333333333,839.63,876.1875,1207.1875,816,1027.05,1092.2666666666667,1326,961.0520833333334,927.4375,991.0869565217391,1211.3636363636363,951.6923076923077
sub8,1456.0714285714287,1400.8541666666667,1530.875,1457.357142857143,1366.3191489361702,1339.875,1406.4285714285713,1385.590909090909,1489.8947368421052,1636.1333333333334,1455,1352.391304347826,1570.2857142857142,1424.1818181818182,1483.1904761904761,1327.9333333333334
sub9,911.5833333333334,744.2808988764045,775.2777777777778,902.4285714285714,750.8020833333334,693,828,834.7826086956521,894.5,914.7142857142857,942.5,994.1309523809524,991.0833333333334,783.7727272727273,763.0674157303371,905.9230769230769
