subject,block,blockType,trialCount,acc,RT,distractorType,taskSequence,sequenceType,sequenceKind,sequencePosition,switchProp,distractorProp
sub1,1,C,7,1,1288,n,s,s,4,2,25%,25%
sub1,1,C,8,1,1882,d,r,s,4,3,25%,25%
sub1,1,C,16,1,1256,n,r,s,1,2,25%,25%
sub1,1,C,17,1,1437,d,s,s,1,3,25%,25%
sub1,1,C,18,1,953,n,r,s,1,4,25%,25%
sub1,1,C,26,1,1255,n,s,s,3,2,25%,25%
sub1,1,C,27,1,1535,d,r,s,3,3,25%,25%
sub1,1,C,28,1,1343,n,s,s,3,4,25%,25%
sub1,1,C,36,1,888,n,r,s,2,2,25%,25%
sub1,1,C,37,1,1242,d,s,s,2,3,25%,25%
sub1,1,C,38,1,1964,d,s,s,2,4,25%,25%
sub1,1,C,46,1,1054,n,s,s,4,2,25%,25%
sub1,1,C,47,1,1114,d,r,s,4,3,25%,25%
sub1,1,C,48,1,1622,d,r,s,4,4,25%,25%
sub1,1,C,55,1,741,n,r,s,1,2,25%,25%
sub1,1,C,57,1,781,n,r,s,1,4,25%,25%
sub1,1,C,65,1,813,n,s,s,4,2,25%,25%
sub1,1,C,66,1,984,d,r,s,4,3,25%,25%
sub1,1,C,67,1,939,d,r,s,4,4,25%,25%
sub1,1,C,75,1,1197,n,s,s,3,2,25%,25%
sub1,1,C,76,1,1015,d,r,s,3,3,25%,25%
sub1,1,C,85,1,760,n,r,s,1,2,25%,25%
sub1,1,C,86,1,906,d,s,s,1,3,25%,25%
sub1,1,C,87,1,659,n,r,s,1,4,25%,25%
sub1,1,C,95,1,865,n,r,s,1,2,25%,25%
sub1,1,C,96,1,924,d,s,s,1,3,25%,25%
sub1,1,C,97,1,791,n,r,s,1,4,25%,25%
sub1,1,C,105,1,918,n,s,s,4,2,25%,25%
sub1,1,C,106,1,1772,d,r,s,4,3,25%,25%
sub1,1,C,107,1,896,d,r,s,4,4,25%,25%
sub1,1,C,115,1,708,n,r,s,2,2,25%,25%
sub1,1,C,116,1,1132,d,s,s,2,3,25%,25%
sub1,1,C,117,1,1591,d,s,s,2,4,25%,25%
sub1,1,C,124,1,1208,n,r,s,2,2,25%,25%
sub1,1,C,125,1,1205,d,s,s,2,3,25%,25%
sub1,1,C,126,1,1137,d,s,s,2,4,25%,25%
sub1,1,C,133,1,787,n,r,s,2,2,25%,25%
sub1,1,C,135,1,1608,d,s,s,2,4,25%,25%
sub1,1,C,144,1,1656,d,r,s,3,3,25%,25%
sub1,1,C,145,1,882,n,s,s,3,4,25%,25%
sub1,1,C,153,1,978,n,s,s,3,2,25%,25%
sub1,1,C,154,1,1172,d,r,s,3,3,25%,25%
sub1,1,C,155,1,1100,n,s,s,3,4,25%,25%
sub1,2,D,167,1,776,n,s,s,4,2,75%,25%
sub1,2,D,168,1,1059,d,r,s,4,3,75%,25%
sub1,2,D,169,1,982,d,r,s,4,4,75%,25%
sub1,2,D,177,1,855,n,r,s,1,2,75%,25%
sub1,2,D,178,1,1099,d,s,s,1,3,75%,25%
sub1,2,D,179,1,981,n,r,s,1,4,75%,25%
sub1,2,D,187,1,799,n,s,s,3,2,75%,25%
sub1,2,D,188,1,870,d,r,s,3,3,75%,25%
sub1,2,D,189,1,795,n,s,s,3,4,75%,25%
sub1,2,D,197,1,1172,n,r,s,2,2,75%,25%
sub1,2,D,198,1,1337,d,s,s,2,3,75%,25%
sub1,2,D,199,1,988,d,s,s,2,4,75%,25%
sub1,2,D,207,1,981,n,s,s,4,2,75%,25%
sub1,2,D,208,1,968,d,r,s,4,3,75%,25%
sub1,2,D,209,1,1732,d,r,s,4,4,75%,25%
sub1,2,D,217,1,1377,n,r,s,1,2,75%,25%
sub1,2,D,218,1,946,d,s,s,1,3,75%,25%
sub1,2,D,219,1,868,n,r,s,1,4,75%,25%
sub1,2,D,227,1,720,n,s,s,4,2,75%,25%
sub1,2,D,228,1,922,d,r,s,4,3,75%,25%
sub1,2,D,229,1,1557,d,r,s,4,4,75%,25%
sub1,2,D,236,1,877,n,s,s,3,2,75%,25%
sub1,2,D,237,1,910,d,r,s,3,3,75%,25%
sub1,2,D,238,1,753,n,s,s,3,4,75%,25%
sub1,2,D,245,1,799,n,r,s,1,2,75%,25%
sub1,2,D,246,1,866,d,s,s,1,3,75%,25%
sub1,2,D,247,1,972,n,r,s,1,4,75%,25%
sub1,2,D,253,1,658,n,r,s,1,2,75%,25%
sub1,2,D,254,1,990,d,s,s,1,3,75%,25%
sub1,2,D,255,1,836,n,r,s,1,4,75%,25%
sub1,2,D,263,1,899,n,s,s,4,2,75%,25%
sub1,2,D,264,1,859,d,r,s,4,3,75%,25%
sub1,2,D,265,1,1031,d,r,s,4,4,75%,25%
sub1,2,D,273,1,809,n,r,s,2,2,75%,25%
sub1,2,D,274,1,1220,d,s,s,2,3,75%,25%
sub1,2,D,275,1,977,d,s,s,2,4,75%,25%
sub1,2,D,283,1,831,n,r,s,2,2,75%,25%
sub1,2,D,284,1,860,d,s,s,2,3,75%,25%
sub1,2,D,285,1,1454,d,s,s,2,4,75%,25%
sub1,2,D,293,1,626,n,r,s,2,2,75%,25%
sub1,2,D,294,1,1296,d,s,s,2,3,75%,25%
sub1,2,D,303,1,752,n,s,s,3,2,75%,25%
sub1,2,D,304,1,895,d,r,s,3,3,75%,25%
sub1,2,D,305,1,810,n,s,s,3,4,75%,25%
sub1,2,D,313,1,717,n,s,s,3,2,75%,25%
sub1,2,D,314,1,736,d,r,s,3,3,75%,25%
sub1,2,D,315,1,1301,n,s,s,3,4,75%,25%
sub1,3,B,326,1,1050,n,s,s,4,2,75%,75%
sub1,3,B,327,1,1131,d,r,s,4,3,75%,75%
sub1,3,B,328,1,834,d,r,s,4,4,75%,75%
sub1,3,B,336,1,868,n,r,s,1,2,75%,75%
sub1,3,B,337,1,1014,d,s,s,1,3,75%,75%
sub1,3,B,338,1,687,n,r,s,1,4,75%,75%
sub1,3,B,346,1,788,n,s,s,3,2,75%,75%
sub1,3,B,347,1,889,d,r,s,3,3,75%,75%
sub1,3,B,348,1,830,n,s,s,3,4,75%,75%
sub1,3,B,356,1,679,n,r,s,2,2,75%,75%
sub1,3,B,357,1,939,d,s,s,2,3,75%,75%
sub1,3,B,358,1,1362,d,s,s,2,4,75%,75%
sub1,3,B,366,1,857,n,s,s,4,2,75%,75%
sub1,3,B,367,1,985,d,r,s,4,3,75%,75%
sub1,3,B,368,1,970,d,r,s,4,4,75%,75%
sub1,3,B,376,1,1355,n,r,s,1,2,75%,75%
sub1,3,B,377,1,1068,d,s,s,1,3,75%,75%
sub1,3,B,378,1,692,n,r,s,1,4,75%,75%
sub1,3,B,385,1,959,n,s,s,4,2,75%,75%
sub1,3,B,386,1,867,d,r,s,4,3,75%,75%
sub1,3,B,387,1,856,d,r,s,4,4,75%,75%
sub1,3,B,395,1,843,n,s,s,3,2,75%,75%
sub1,3,B,396,1,932,d,r,s,3,3,75%,75%
sub1,3,B,397,1,1262,n,s,s,3,4,75%,75%
sub1,3,B,405,1,894,n,r,s,1,2,75%,75%
sub1,3,B,406,1,1029,d,s,s,1,3,75%,75%
sub1,3,B,407,1,950,n,r,s,1,4,75%,75%
sub1,3,B,415,1,790,n,r,s,1,2,75%,75%
sub1,3,B,416,1,1218,d,s,s,1,3,75%,75%
sub1,3,B,417,1,677,n,r,s,1,4,75%,75%
sub1,3,B,425,1,705,n,s,s,4,2,75%,75%
sub1,3,B,426,1,939,d,r,s,4,3,75%,75%
sub1,3,B,427,1,959,d,r,s,4,4,75%,75%
sub1,3,B,435,1,738,n,r,s,2,2,75%,75%
sub1,3,B,436,1,929,d,s,s,2,3,75%,75%
sub1,3,B,437,1,778,d,s,s,2,4,75%,75%
sub1,3,B,444,1,731,n,r,s,2,2,75%,75%
sub1,3,B,445,1,714,d,s,s,2,3,75%,75%
sub1,3,B,446,1,762,d,s,s,2,4,75%,75%
sub1,3,B,454,1,929,n,r,s,2,2,75%,75%
sub1,3,B,455,1,1639,d,s,s,2,3,75%,75%
sub1,3,B,456,1,1533,d,s,s,2,4,75%,75%
sub1,3,B,464,1,1048,n,s,s,3,2,75%,75%
sub1,3,B,465,1,880,d,r,s,3,3,75%,75%
sub1,3,B,466,1,757,n,s,s,3,4,75%,75%
sub1,3,B,472,1,1514,n,s,s,3,2,75%,75%
sub1,3,B,473,1,1361,d,r,s,3,3,75%,75%
sub1,3,B,474,1,1413,n,s,s,3,4,75%,75%
sub1,4,A,487,1,908,n,s,s,4,2,25%,75%
sub1,4,A,488,1,735,d,r,s,4,3,25%,75%
sub1,4,A,489,1,858,d,r,s,4,4,25%,75%
sub1,4,A,497,1,1059,n,r,s,1,2,25%,75%
sub1,4,A,498,1,811,d,s,s,1,3,25%,75%
sub1,4,A,499,1,733,n,r,s,1,4,25%,75%
sub1,4,A,507,1,1282,n,s,s,3,2,25%,75%
sub1,4,A,509,1,1106,n,s,s,3,4,25%,75%
sub1,4,A,517,1,708,n,r,s,2,2,25%,75%
