subject,distractorType,taskSequence,switchProp,distractorProp,mean_RT
sub1,d,r,25%,25%,1185.2666666666667
sub1,d,r,25%,75%,861.1188118811881
sub1,d,r,75%,25%,1020.5652173913044
sub1,d,r,75%,75%,967.8125
sub1,d,s,25%,25%,1320
sub1,d,s,25%,75%,1056
sub1,d,s,75%,25%,1128.9333333333334
sub1,d,s,75%,75%,1049.204081632653
sub1,n,r,25%,25%,891.7070707070707
sub1,n,r,25%,75%,826.4
sub1,n,r,75%,25%,925.1875
sub1,n,r,75%,75%,831.4166666666666
sub1,n,s,25%,25%,1073.857142857143
sub1,n,s,25%,75%,966.6818181818181
sub1,n,s,75%,25%,947.75
sub1,n,s,75%,75%,959.1875
sub10,d,r,25%,25%,1501.8461538461538
sub10,d,r,25%,75%,1560.1546391752577
sub10,d,r,75%,25%,1536.8695652173913
sub10,d,r,75%,75%,1579.5
sub10,d,s,25%,25%,1530.608695652174
sub10,d,s,25%,75%,1708.4615384615386
sub10,d,s,75%,25%,1707.5333333333333
sub10,d,s,75%,75%,1599.5353535353536
sub10,n,r,25%,25%,1328.0707070707072
sub10,n,r,25%,75%,1625.142857142857
sub10,n,r,75%,25%,1444.5333333333333
sub10,n,r,75%,75%,1517.3333333333333
sub10,n,s,25%,25%,1463.1333333333334
sub10,n,s,25%,75%,1727.842105263158
sub10,n,s,75%,25%,1557.8817204301076
sub10,n,s,75%,75%,1589.1875
sub11,d,r,25%,25%,1454.3
sub11,d,r,25%,75%,1434.6315789473683
sub11,d,r,75%,25%,1458.9333333333334
sub11,d,r,75%,75%,1408.6666666666667
sub11,d,s,25%,25%,1466.25
sub11,d,s,25%,75%,1655
sub11,d,s,75%,25%,1317.888888888889
sub11,d,s,75%,75%,1515.013698630137
sub11,n,r,25%,25%,1357.4583333333333
sub11,n,r,25%,75%,1447.357142857143
sub11,n,r,75%,25%,1580.75
sub11,n,r,75%,75%,1340.4705882352941
sub11,n,s,25%,25%,1504.375
sub11,n,s,25%,75%,1570.5263157894738
sub11,n,s,75%,25%,1399.8947368421052
sub11,n,s,75%,75%,1351.142857142857
sub12,d,r,25%,25%,1574
sub12,d,r,25%,75%,1414.3921568627452
sub12,d,r,75%,25%,1519.5454545454545
sub12,d,r,75%,75%,1727.0714285714287
sub12,d,s,25%,25%,1862.095238095238
sub12,d,s,25%,75%,1528.357142857143
sub12,d,s,75%,25%,1698.5714285714287
sub12,d,s,75%,75%,1742.7386363636363
sub12,n,r,25%,25%,1506.7843137254902
sub12,n,r,25%,75%,1384.8
sub12,n,r,75%,25%,1486.7333333333333
sub12,n,r,75%,75%,1508.1666666666667
sub12,n,s,25%,25%,1659.8666666666666
sub12,n,s,25%,75%,1470.5
sub12,n,s,75%,25%,1517.4536082474226
sub12,n,s,75%,75%,1662.6666666666667
sub13,d,r,25%,25%,1187.4375
sub13,d,r,25%,75%,1381.8315789473684
sub13,d,r,75%,25%,1370.875
sub13,d,r,75%,75%,1376.25
sub13,d,s,25%,25%,1447
sub13,d,s,25%,75%,1533.4545454545455
sub13,d,s,75%,25%,1561.125
sub13,d,s,75%,75%,1469.7623762376238
sub13,n,r,25%,25%,1098.0196078431372
sub13,n,r,25%,75%,1210.75
sub13,n,r,75%,25%,1196.3333333333333
sub13,n,r,75%,75%,1330.695652173913
sub13,n,s,25%,25%,1266.5714285714287
sub13,n,s,25%,75%,1560.5454545454545
sub13,n,s,75%,25%,1354.01
sub13,n,s,75%,75%,1316.2142857142858
sub14,d,r,25%,25%,948.7333333333333
sub14,d,r,25%,75%,1291.712643678161
sub14,d,r,75%,25%,1124.4166666666667
sub14,d,r,75%,75%,1122.7333333333333
sub14,d,s,25%,25%,1163.6
sub14,d,s,25%,75%,1270.7857142857142
sub14,d,s,75%,25%,961.5
sub14,d,s,75%,75%,1192.9135802469136
sub14,n,r,25%,25%,856.1157894736842
sub14,n,r,25%,75%,1030.75
sub14,n,r,75%,25%,921.9375
sub14,n,r,75%,75%,1104.1739130434783
sub14,n,s,25%,25%,878.4
sub14,n,s,25%,75%,1212.5333333333333
sub14,n,s,75%,25%,1092.4623655913979
sub14,n,s,75%,75%,1175.2307692307693
sub15,d,r,25%,25%,1339.4666666666667
sub15,d,r,25%,75%,922.3473684210526
sub15,d,r,75%,25%,1430.5652173913043
sub15,d,r,75%,75%,1414.0625
sub15,d,s,25%,25%,1328.7272727272727
sub15,d,s,25%,75%,1092.4
sub15,d,s,75%,25%,1367.9375
sub15,d,s,75%,75%,1302.7676767676767
sub15,n,r,25%,25%,904.5257731958762
sub15,n,r,25%,75%,783.8125
sub15,n,r,75%,25%,1156
sub15,n,r,75%,75%,1165.7391304347825
sub15,n,s,25%,25%,1175.7333333333333
sub15,n,s,25%,75%,987.5
sub15,n,s,75%,25%,1172.9019607843138
sub15,n,s,75%,75%,1241.1875
sub16,d,r,25%,25%,1316.0625
sub16,d,r,25%,75%,1012.63
sub16,d,r,75%,25%,1256.9565217391305
sub16,d,r,75%,75%,1163.4375
sub16,d,s,25%,25%,1625.9545454545455
sub16,d,s,25%,75%,1133.5
sub16,d,s,75%,25%,1317.75
sub16,d,s,75%,75%,1198.4117647058824
sub16,n,r,25%,25%,1167.137254901961
sub16,n,r,25%,75%,866.875
sub16,n,r,75%,25%,1277.5
sub16,n,r,75%,75%,1084
sub16,n,s,25%,25%,1250.357142857143
sub16,n,s,25%,75%,1054.0416666666667
sub16,n,s,75%,25%,1198.1443298969073
sub16,n,s,75%,75%,1082.8125
sub17,d,r,25%,25%,814.9285714285714
sub17,d,r,25%,75%,817.3263157894737
sub17,d,r,75%,25%,1134.7894736842106
sub17,d,r,75%,75%,1013.6666666666666
sub17,d,s,25%,25%,821.4782608695652
sub17,d,s,25%,75%,930.0769230769231
sub17,d,s,75%,25%,1159.857142857143
sub17,d,s,75%,75%,816.8023255813954
sub17,n,r,25%,25%,744.7311827956989
sub17,n,r,25%,75%,797.6428571428571
sub17,n,r,75%,25%,895.0666666666667
sub17,n,r,75%,75%,625.6190476190476
sub17,n,s,25%,25%,826.4285714285714
sub17,n,s,25%,75%,924.3913043478261
sub17,n,s,75%,25%,1104.0344827586207
sub17,n,s,75%,75%,834.3333333333334
sub18,d,r,25%,25%,1148.0625
sub18,d,r,25%,75%,1130.2621359223301
sub18,d,r,75%,25%,1315.0416666666667
sub18,d,r,75%,75%,1103
sub18,d,s,25%,25%,1179.125
sub18,d,s,25%,75%,1216.5625
sub18,d,s,75%,25%,1330.1875
sub18,d,s,75%,75%,1130.32
sub18,n,r,25%,25%,960.7843137254902
sub18,n,r,25%,75%,1044.125
sub18,n,r,75%,25%,1064.1875
sub18,n,r,75%,75%,953.5416666666666
sub18,n,s,25%,25%,1095.1333333333334
sub18,n,s,25%,75%,1185.7142857142858
sub18,n,s,75%,25%,1184.6930693069307
sub18,n,s,75%,75%,1101.6875
sub19,d,r,25%,25%,1191
sub19,d,r,25%,75%,1204.298969072165
sub19,d,r,75%,25%,1333.304347826087
sub19,d,r,75%,75%,1167.7333333333333
sub19,d,s,25%,25%,1392.095238095238
sub19,d,s,25%,75%,1313.8666666666666
sub19,d,s,75%,25%,1301.2142857142858
sub19,d,s,75%,75%,1170.0224719101125
sub19,n,r,25%,25%,1158.6516853932585
sub19,n,r,25%,75%,1189
sub19,n,r,75%,25%,1128.1538461538462
sub19,n,r,75%,75%,1056.2
sub19,n,s,25%,25%,1284.375
sub19,n,s,25%,75%,1243.65
sub19,n,s,75%,25%,1274.1739130434783
sub19,n,s,75%,75%,1122.3076923076924
sub2,d,r,25%,25%,1135.2
sub2,d,r,25%,75%,1021.990099009901
sub2,d,r,75%,25%,1319.9166666666667
sub2,d,r,75%,75%,1076.3333333333333
sub2,d,s,25%,25%,1244.85
sub2,d,s,25%,75%,1335.0666666666666
sub2,d,s,75%,25%,1217.7333333333333
sub2,d,s,75%,75%,1242.3473684210526
sub2,n,r,25%,25%,1002.4623655913979
sub2,n,r,25%,75%,1101.8125
sub2,n,r,75%,25%,978.1333333333333
sub2,n,r,75%,75%,1029
sub2,n,s,25%,25%,1139.6
sub2,n,s,25%,75%,1197.3157894736842
sub2,n,s,75%,25%,1138.20202020202
sub2,n,s,75%,75%,1210.857142857143
sub20,d,r,25%,25%,1425.0714285714287
sub20,d,r,25%,75%,1495.952380952381
sub20,d,r,75%,25%,1287.4782608695652
sub20,d,r,75%,75%,1481
sub20,d,s,25%,25%,1503.8260869565217
sub20,d,s,25%,75%,1628.3636363636363
sub20,d,s,75%,25%,1456.8
sub20,d,s,75%,75%,1627.3820224719102
sub20,n,r,25%,25%,1362.840425531915
sub20,n,r,25%,75%,1430.923076923077
sub20,n,r,75%,25%,1293.0625
sub20,n,r,75%,75%,1521.1818181818182
sub20,n,s,25%,25%,1535.5384615384614
sub20,n,s,25%,75%,1537.0555555555557
sub20,n,s,75%,25%,1374.1860465116279
sub20,n,s,75%,75%,1618.2142857142858
sub21,d,r,25%,25%,1206.9333333333334
sub21,d,r,25%,75%,1306.7254901960785
sub21,d,r,75%,25%,1304.2916666666667
sub21,d,r,75%,75%,1264.625
sub21,d,s,25%,25%,1204.25
sub21,d,s,25%,75%,1572.625
sub21,d,s,75%,25%,1336.9375
sub21,d,s,75%,75%,1350.2970297029703
sub21,n,r,25%,25%,972.7864077669902
sub21,n,r,25%,75%,1192.375
sub21,n,r,75%,25%,1121.4375
sub21,n,r,75%,75%,1099.4347826086957
sub21,n,s,25%,25%,1193.9375
sub21,n,s,25%,75%,1380.590909090909
sub21,n,s,75%,25%,1274.11
sub21,n,s,75%,75%,1294.25
sub22,d,r,25%,25%,1182
sub22,d,r,25%,75%,948.6831683168317
sub22,d,r,75%,25%,1275.5833333333333
sub22,d,r,75%,75%,906.6875
sub22,d,s,25%,25%,1177.0416666666667
sub22,d,s,25%,75%,1208
sub22,d,s,75%,25%,1288.6875
sub22,d,s,75%,75%,1152.5858585858587
sub22,n,r,25%,25%,833.7549019607843
sub22,n,r,25%,75%,876.0625
sub22,n,r,75%,25%,1044.4
sub22,n,r,75%,75%,946.375
sub22,n,s,25%,25%,1059.0625
sub22,n,s,25%,75%,1122.4347826086957
sub22,n,s,75%,25%,984.57
sub22,n,s,75%,75%,1052.8
sub23,d,r,25%,25%,1684
sub23,d,r,25%,75%,1446.625
sub23,d,r,75%,25%,1663.7727272727273
sub23,d,r,75%,75%,1612.6
sub23,d,s,25%,25%,1768.090909090909
sub23,d,s,25%,75%,1582.909090909091
sub23,d,s,75%,25%,1679.8461538461538
sub23,d,s,75%,75%,1617.5526315789473
sub23,n,r,25%,25%,1485.4653465346535
sub23,n,r,25%,75%,1507.2222222222222
sub23,n,r,75%,25%,1576.5625
sub23,n,r,75%,75%,1598.8333333333333
sub23,n,s,25%,25%,1585.4
sub23,n,s,25%,75%,1435.1176470588234
sub23,n,s,75%,25%,1621.8125
sub23,n,s,75%,75%,1544.8333333333333
sub24,d,r,25%,25%,1370.6666666666667
sub24,d,r,25%,75%,1368.2244897959183
sub24,d,r,75%,25%,1440.391304347826
sub24,d,r,75%,75%,1618.2666666666667
sub24,d,s,25%,25%,1399.909090909091
sub24,d,s,25%,75%,1583.2
sub24,d,s,75%,25%,1524
sub24,d,s,75%,75%,1475.236559139785
sub24,n,r,25%,25%,1227.2574257425742
sub24,n,r,25%,75%,1298.0666666666666
sub24,n,r,75%,25%,1289.9333333333334
sub24,n,r,75%,75%,1315.2727272727273
sub24,n,s,25%,25%,1426.3333333333333
sub24,n,s,25%,75%,1602.4166666666667
sub24,n,s,75%,25%,1390.2421052631578
sub24,n,s,75%,75%,1462.375
sub25,d,r,25%,25%,1052.875
sub25,d,r,25%,75%,985.2079207920792
sub25,d,r,75%,25%,1057.9583333333333
sub25,d,r,75%,75%,979.2142857142857
sub25,d,s,25%,25%,1139.1666666666667
sub25,d,s,25%,75%,1029.4666666666667
sub25,d,s,75%,25%,1157.9375
sub25,d,s,75%,75%,1088.7373737373737
sub25,n,r,25%,25%,953.48
sub25,n,r,25%,75%,937.7333333333333
sub25,n,r,75%,25%,922.875
sub25,n,r,75%,75%,897.5217391304348
sub25,n,s,25%,25%,1093.1875
sub25,n,s,25%,75%,1049.2272727272727
sub25,n,s,75%,25%,1025.56
sub25,n,s,75%,75%,1010.5625
sub26,d,r,25%,25%,935.875
sub26,d,r,25%,75%,773.4736842105264
sub26,d,r,75%,25%,735.695652173913
sub26,d,r,75%,75%,982.0666666666667
sub26,d,s,25%,25%,1041.391304347826
sub26,d,s,25%,75%,879.125
sub26,d,s,75%,25%,899.0714285714286
sub26,d,s,75%,75%,1065.3267326732673
sub26,n,r,25%,25%,774.4444444444445
sub26,n,r,25%,75%,700.6666666666666
sub26,n,r,75%,25%,715.5333333333333
sub26,n,r,75%,75%,891.5833333333334
sub26,n,s,25%,25%,894
sub26,n,s,25%,75%,831.6363636363636
sub26,n,s,75%,25%,774.4795918367347
sub26,n,s,75%,75%,924.6666666666666
sub27,d,r,25%,25%,1163.5714285714287
sub27,d,r,25%,75%,1359.20202020202
sub27,d,r,75%,25%,1533.125
sub27,d,r,75%,75%,1268.4
sub27,d,s,25%,25%,1591.5454545454545
sub27,d,s,25%,75%,1628.8333333333333
sub27,d,s,75%,25%,1519.5833333333333
sub27,d,s,75%,75%,1379.340425531915
sub27,n,r,25%,25%,1166.6868686868686
sub27,n,r,25%,75%,1158.8
sub27,n,r,75%,25%,1283.75
sub27,n,r,75%,75%,1135.6521739130435
sub27,n,s,25%,25%,1378.5714285714287
sub27,n,s,25%,75%,1433.3478260869565
sub27,n,s,75%,25%,1403.095744680851
sub27,n,s,75%,75%,1158.5333333333333
sub28,d,r,25%,25%,1433.2857142857142
sub28,d,r,25%,75%,1246.5529411764705
sub28,d,r,75%,25%,1202.125
sub28,d,r,75%,75%,990.6666666666666
sub28,d,s,25%,25%,1557.85
sub28,d,s,25%,75%,1334.0833333333333
sub28,d,s,75%,25%,1260.5
sub28,d,s,75%,75%,1142.2537313432836
sub28,n,r,25%,25%,1236.6888888888889
sub28,n,r,25%,75%,1214.6153846153845
sub28,n,r,75%,25%,1299.8
sub28,n,r,75%,75%,1130.5882352941176
sub28,n,s,25%,25%,1452.4375
sub28,n,s,25%,75%,1227.4
sub28,n,s,75%,25%,1309.989010989011
sub28,n,s,75%,75%,1016.5454545454545
sub29,d,r,25%,25%,1066.4
sub29,d,r,25%,75%,959.0980392156863
sub29,d,r,75%,25%,989.625
sub29,d,r,75%,75%,1272.6
sub29,d,s,25%,25%,1209.2608695652175
sub29,d,s,25%,75%,1133.5625
sub29,d,s,75%,25%,1195.75
sub29,d,s,75%,75%,1317.278350515464
sub29,n,r,25%,25%,1085.6565656565656
sub29,n,r,25%,75%,864.125
sub29,n,r,75%,25%,882.5625
sub29,n,r,75%,75%,1262.1304347826087
sub29,n,s,25%,25%,1065.4
sub29,n,s,25%,75%,1066.6363636363637
sub29,n,s,75%,25%,991.9901960784314
sub29,n,s,75%,75%,1222.125
sub3,d,r,25%,25%,1389.2142857142858
sub3,d,r,25%,75%,1641.4022988505747
sub3,d,r,75%,25%,1352.2857142857142
sub3,d,r,75%,75%,1458.4
sub3,d,s,25%,25%,1381.4285714285713
sub3,d,s,25%,75%,1781
sub3,d,s,75%,25%,1542.5384615384614
sub3,d,s,75%,75%,1534.247191011236
sub3,n,r,25%,25%,1224.5
sub3,n,r,25%,75%,1587.642857142857
sub3,n,r,75%,25%,1341.6363636363637
sub3,n,r,75%,75%,1438.5454545454545
sub3,n,s,25%,25%,1337.4166666666667
sub3,n,s,25%,75%,1618.85
sub3,n,s,75%,25%,1472.0898876404494
sub3,n,s,75%,75%,1475.923076923077
sub30,d,r,25%,25%,749.5333333333333
sub30,d,r,25%,75%,740.1262135922331
sub30,d,r,75%,25%,790.4545454545455
sub30,d,r,75%,75%,631.1875
sub30,d,s,25%,25%,702.6086956521739
sub30,d,s,25%,75%,810
sub30,d,s,75%,25%,887.9285714285714
sub30,d,s,75%,75%,646.3125
sub30,n,r,25%,25%,642.5858585858585
sub30,n,r,25%,75%,661.625
sub30,n,r,75%,25%,816.5625
sub30,n,r,75%,75%,561.7272727272727
sub30,n,s,25%,25%,650.5
sub30,n,s,25%,75%,774.65
sub30,n,s,75%,25%,799.67
sub30,n,s,75%,75%,618.375
sub31,d,r,25%,25%,1776.0666666666666
sub31,d,r,25%,75%,1230.71
sub31,d,r,75%,25%,1480.5454545454545
sub31,d,r,75%,75%,1268.7142857142858
sub31,d,s,25%,25%,1775.9473684210527
sub31,d,s,25%,75%,1421.1538461538462
sub31,d,s,75%,25%,1632.6
sub31,d,s,75%,75%,1448.021505376344
sub31,n,r,25%,25%,1380.7835051546392
sub31,n,r,25%,75%,1219.9333333333334
sub31,n,r,75%,25%,1355.1875
sub31,n,r,75%,75%,1458.8181818181818
sub31,n,s,25%,25%,1641.3333333333333
sub31,n,s,25%,75%,1312.6818181818182
sub31,n,s,75%,25%,1410.9591836734694
sub31,n,s,75%,75%,1264.8125
sub32,d,r,25%,25%,1347.6875
sub32,d,r,25%,75%,1358.6770833333333
sub32,d,r,75%,25%,1370.0454545454545
sub32,d,r,75%,75%,1693.5625
sub32,d,s,25%,25%,1758.6521739130435
sub32,d,s,25%,75%,1507.5
sub32,d,s,75%,25%,1516.923076923077
sub32,d,s,75%,75%,1642.7529411764706
sub32,n,r,25%,25%,1339.1782178217823
sub32,n,r,25%,75%,1276.75
sub32,n,r,75%,25%,1170.6875
sub32,n,r,75%,75%,1467.7826086956522
sub32,n,s,25%,25%,1615.8125
sub32,n,s,25%,75%,1487.5882352941176
sub32,n,s,75%,25%,1537.9032258064517
sub32,n,s,75%,75%,1484.5714285714287
sub33,d,r,25%,25%,1459.2666666666667
sub33,d,r,25%,75%,1514.53125
sub33,d,r,75%,25%,1809.0454545454545
sub33,d,r,75%,75%,1412.5333333333333
sub33,d,s,25%,25%,1585.5
sub33,d,s,25%,75%,1742.8
sub33,d,s,75%,25%,1792.5714285714287
sub33,d,s,75%,75%,1637.989010989011
sub33,n,r,25%,25%,1387.7628865979382
sub33,n,r,25%,75%,1339.0666666666666
sub33,n,r,75%,25%,1555.0625
sub33,n,r,75%,75%,1446.45
sub33,n,s,25%,25%,1616.0714285714287
sub33,n,s,25%,75%,1591.3478260869565
sub33,n,s,75%,25%,1601.9468085106382
sub33,n,s,75%,75%,1512.2857142857142
sub34,d,r,25%,25%,1594.7142857142858
sub34,d,r,25%,75%,1281.131868131868
sub34,d,r,75%,25%,1340.0555555555557
sub34,d,r,75%,75%,1813.5
sub34,d,s,25%,25%,1576
sub34,d,s,25%,75%,1696.357142857143
sub34,d,s,75%,25%,1343.875
sub34,d,s,75%,75%,1728.0862068965516
sub34,n,r,25%,25%,1290.3877551020407
sub34,n,r,25%,75%,1287.6
sub34,n,r,75%,25%,1204.2307692307693
sub34,n,r,75%,75%,1486.5263157894738
sub34,n,s,25%,25%,1451.5384615384614
sub34,n,s,25%,75%,1410.4375
sub34,n,s,75%,25%,1338.219512195122
sub34,n,s,75%,75%,1518.6363636363637
sub35,d,r,25%,25%,1075.5
sub35,d,r,25%,75%,1249.6451612903227
sub35,d,r,75%,25%,1143.75
sub35,d,r,75%,75%,1281.75
sub35,d,s,25%,25%,1127.7222222222222
sub35,d,s,25%,75%,1289.5333333333333
sub35,d,s,75%,25%,1269.7857142857142
sub35,d,s,75%,75%,1287.0515463917525
sub35,n,r,25%,25%,1099.5744680851064
sub35,n,r,25%,75%,1365
sub35,n,r,75%,25%,1162.2666666666667
sub35,n,r,75%,75%,1280.5454545454545
sub35,n,s,25%,25%,1146.5714285714287
sub35,n,s,25%,75%,1440.4285714285713
sub35,n,s,75%,25%,1250.340425531915
sub35,n,s,75%,75%,1355.6923076923076
sub36,d,r,25%,25%,1633.2307692307693
sub36,d,r,25%,75%,1552.9550561797753
sub36,d,r,75%,25%,1472.3333333333333
sub36,d,r,75%,75%,1504.7692307692307
sub36,d,s,25%,25%,1715.4444444444443
sub36,d,s,25%,75%,1550.0833333333333
sub36,d,s,75%,25%,1908.0833333333333
sub36,d,s,75%,75%,1663.035294117647
sub36,n,r,25%,25%,1533.7931034482758
sub36,n,r,25%,75%,1380.75
sub36,n,r,75%,25%,1578.1538461538462
sub36,n,r,75%,75%,1565.2727272727273
sub36,n,s,25%,25%,1740.5
sub36,n,s,25%,75%,1645.15
sub36,n,s,75%,25%,1606.453488372093
sub36,n,s,75%,75%,1604.0833333333333
sub37,d,r,25%,25%,921.9333333333333
sub37,d,r,25%,75%,759.2058823529412
sub37,d,r,75%,25%,791.7083333333334
sub37,d,r,75%,75%,901.9333333333333
sub37,d,s,25%,25%,1023
sub37,d,s,25%,75%,877.3125
sub37,d,s,75%,25%,874.0666666666667
sub37,d,s,75%,75%,1054.71
sub37,n,r,25%,25%,771.58
sub37,n,r,25%,75%,775.75
sub37,n,r,75%,25%,693.375
sub37,n,r,75%,75%,927.875
sub37,n,s,25%,25%,883.0666666666667
sub37,n,s,25%,75%,760.9166666666666
sub37,n,s,75%,25%,767.2828282828283
sub37,n,s,75%,75%,984.6
sub38,d,r,25%,25%,1167.0625
sub38,d,r,25%,75%,1183.1157894736841
sub38,d,r,75%,25%,1229.3333333333333
sub38,d,r,75%,75%,1436.1875
sub38,d,s,25%,25%,1345.5
sub38,d,s,25%,75%,1095.25
sub38,d,s,75%,25%,1254.3333333333333
sub38,d,s,75%,75%,1272.141414141414
sub38,n,r,25%,25%,1047.8469387755101
sub38,n,r,25%,75%,996.8
sub38,n,r,75%,25%,1307.9285714285713
sub38,n,r,75%,75%,1262.4166666666667
sub38,n,s,25%,25%,1040.75
sub38,n,s,25%,75%,1043.5217391304348
sub38,n,s,75%,25%,1153.2291666666667
sub38,n,s,75%,75%,1219.625
sub39,d,r,25%,25%,725.8125
sub39,d,r,25%,75%,752.1836734693877
sub39,d,r,75%,25%,802.952380952381
sub39,d,r,75%,75%,818.9375
sub39,d,s,25%,25%,861.2083333333334
sub39,d,s,25%,75%,914.5625
sub39,d,s,75%,25%,803.2
sub39,d,s,75%,75%,886.7052631578947
sub39,n,r,25%,25%,679.9387755102041
sub39,n,r,25%,75%,671.4375
sub39,n,r,75%,25%,735.2
sub39,n,r,75%,75%,744.7391304347826
sub39,n,s,25%,25%,769.2857142857143
sub39,n,s,25%,75%,812.2608695652174
sub39,n,s,75%,25%,776.6458333333334
sub39,n,s,75%,75%,870.7333333333333
sub4,d,r,25%,25%,957.125
sub4,d,r,25%,75%,1134.6796116504854
sub4,d,r,75%,25%,1099.5416666666667
sub4,d,r,75%,75%,1123.4375
sub4,d,s,25%,25%,1086.75
sub4,d,s,25%,75%,1300.625
sub4,d,s,75%,25%,1336.25
sub4,d,s,75%,75%,1126.5728155339805
sub4,n,r,25%,25%,909.6990291262136
sub4,n,r,25%,75%,859.1875
sub4,n,r,75%,25%,940.375
sub4,n,r,75%,75%,950.7391304347826
sub4,n,s,25%,25%,1013.9375
sub4,n,s,25%,75%,1153.4166666666667
sub4,n,s,75%,25%,1014.6990291262136
sub4,n,s,75%,75%,1064.75
sub40,d,r,25%,25%,933.8666666666667
sub40,d,r,25%,75%,952.1616161616162
sub40,d,r,75%,25%,1177.6521739130435
sub40,d,r,75%,75%,910.6875
sub40,d,s,25%,25%,1064.909090909091
sub40,d,s,25%,75%,1141.8
sub40,d,s,75%,25%,1095.8461538461538
sub40,d,s,75%,75%,1006.46875
sub40,n,r,25%,25%,881.1764705882352
sub40,n,r,25%,75%,875.6875
sub40,n,r,75%,25%,899.9375
sub40,n,r,75%,75%,864.3333333333334
sub40,n,s,25%,25%,1029.9375
sub40,n,s,25%,75%,1080.608695652174
sub40,n,s,75%,25%,1101.7821782178219
sub40,n,s,75%,75%,974.75
sub41,d,r,25%,25%,843.5
sub41,d,r,25%,75%,1025.47
sub41,d,r,75%,25%,1065.2272727272727
sub41,d,r,75%,75%,1035.0625
sub41,d,s,25%,25%,1083.8333333333333
sub41,d,s,25%,75%,1236.8125
sub41,d,s,75%,25%,1128.5
sub41,d,s,75%,75%,1071.6979166666667
