subject,distractorType,taskSequence,switchProp,distractorProp,mean_RT
sub1,d,r,25%,25%,1326.090909090909
sub1,d,r,25%,75%,836.7272727272727
sub1,d,r,75%,25%,1043.4166666666667
sub1,d,r,75%,75%,966.9166666666666
sub1,d,s,25%,25%,1314.6
sub1,d,s,25%,75%,1048.4545454545455
sub1,d,s,75%,25%,1093.909090909091
sub1,d,s,75%,75%,1082.0833333333333
sub1,n,r,25%,25%,866.4166666666666
sub1,n,r,25%,75%,841.9090909090909
sub1,n,r,75%,25%,898.6666666666666
sub1,n,r,75%,75%,832.5
sub1,n,s,25%,25%,1082.8
sub1,n,s,25%,75%,910
sub1,n,s,75%,25%,848.3333333333334
sub1,n,s,75%,75%,1002.1666666666666
sub10,d,r,25%,25%,1466.6363636363637
sub10,d,r,25%,75%,1803.888888888889
sub10,d,r,75%,25%,1535.090909090909
sub10,d,r,75%,75%,1616.4166666666667
sub10,d,s,25%,25%,1517.3333333333333
sub10,d,s,25%,75%,1674.2
sub10,d,s,75%,25%,1671.4545454545455
sub10,d,s,75%,75%,1552.2
sub10,n,r,25%,25%,1332.75
sub10,n,r,25%,75%,1615.090909090909
sub10,n,r,75%,25%,1449.9166666666667
sub10,n,r,75%,75%,1441.5
sub10,n,s,25%,25%,1458.6363636363637
sub10,n,s,25%,75%,1717.3333333333333
sub10,n,s,75%,25%,1727.5454545454545
sub10,n,s,75%,75%,1589.3333333333333
sub11,d,r,25%,25%,1496.375
sub11,d,r,25%,75%,1534.5
sub11,d,r,75%,25%,1555.125
sub11,d,r,75%,75%,1446.9166666666667
sub11,d,s,25%,25%,1348.888888888889
sub11,d,s,25%,75%,1613.1818181818182
sub11,d,s,75%,25%,1320.375
sub11,d,s,75%,75%,1567.857142857143
sub11,n,r,25%,25%,1285.5555555555557
sub11,n,r,25%,75%,1493.6363636363637
sub11,n,r,75%,25%,1696.111111111111
sub11,n,r,75%,75%,1284
sub11,n,s,25%,25%,1542.5714285714287
sub11,n,s,25%,75%,1409.6
sub11,n,s,75%,25%,1392.7777777777778
sub11,n,s,75%,75%,1346.8333333333333
sub12,d,r,25%,25%,1574.25
sub12,d,r,25%,75%,1455.090909090909
sub12,d,r,75%,25%,1540.75
sub12,d,r,75%,75%,1704.1666666666667
sub12,d,s,25%,25%,1954.6666666666667
sub12,d,s,25%,75%,1475.5454545454545
sub12,d,s,75%,25%,1605.4
sub12,d,s,75%,75%,1709.111111111111
sub12,n,r,25%,25%,1479.25
sub12,n,r,25%,75%,1442.8181818181818
sub12,n,r,75%,25%,1467.2727272727273
sub12,n,r,75%,75%,1570.75
sub12,n,s,25%,25%,1644.25
sub12,n,s,25%,75%,1392.4
sub12,n,s,75%,25%,1332.5
sub12,n,s,75%,75%,1669.1818181818182
sub13,d,r,25%,25%,1196
sub13,d,r,25%,75%,1491.7272727272727
sub13,d,r,75%,25%,1394.9166666666667
sub13,d,r,75%,75%,1397.4166666666667
sub13,d,s,25%,25%,1414.75
sub13,d,s,25%,75%,1473.4285714285713
sub13,d,s,75%,25%,1655.3333333333333
sub13,d,s,75%,75%,1422
sub13,n,r,25%,25%,1176.1818181818182
sub13,n,r,25%,75%,1243.5
sub13,n,r,75%,25%,1187.75
sub13,n,r,75%,75%,1265.9166666666667
sub13,n,s,25%,25%,1225.8181818181818
sub13,n,s,25%,75%,1564.1818181818182
sub13,n,s,75%,25%,1362.5
sub13,n,s,75%,75%,1359.8
sub14,d,r,25%,25%,1020.5454545454545
sub14,d,r,25%,75%,1195.375
sub14,d,r,75%,25%,1242.0833333333333
sub14,d,r,75%,75%,1189.6666666666667
sub14,d,s,25%,25%,1103.5
sub14,d,s,25%,75%,1224.9
sub14,d,s,75%,25%,981.9
sub14,d,s,75%,75%,1372.6666666666667
sub14,n,r,25%,25%,959.8181818181819
sub14,n,r,25%,75%,1092.625
sub14,n,r,75%,25%,954.1666666666666
sub14,n,r,75%,75%,989.75
sub14,n,s,25%,25%,869.9090909090909
sub14,n,s,25%,75%,1151
sub14,n,s,75%,25%,1018.9166666666666
sub14,n,s,75%,75%,1169.7
sub15,d,r,25%,25%,1325.090909090909
sub15,d,r,25%,75%,991.2727272727273
sub15,d,r,75%,25%,1485.1666666666667
sub15,d,r,75%,75%,1470.0833333333333
sub15,d,s,25%,25%,1356.7272727272727
sub15,d,s,25%,75%,1174.5454545454545
sub15,d,s,75%,25%,1358.8333333333333
sub15,d,s,75%,75%,1372.6666666666667
sub15,n,r,25%,25%,972.6363636363636
sub15,n,r,25%,75%,794.5
sub15,n,r,75%,25%,1147.3333333333333
sub15,n,r,75%,75%,1232.4166666666667
sub15,n,s,25%,25%,1177.5454545454545
sub15,n,s,25%,75%,897.3333333333334
sub15,n,s,75%,25%,1274.3636363636363
sub15,n,s,75%,75%,1173.1666666666667
sub16,d,r,25%,25%,1359.75
sub16,d,r,25%,75%,1138.25
sub16,d,r,75%,25%,1352.5454545454545
sub16,d,r,75%,75%,1164.6666666666667
sub16,d,s,25%,25%,1457.8
sub16,d,s,25%,75%,1043.9166666666667
sub16,d,s,75%,25%,1299.5833333333333
sub16,d,s,75%,75%,1219.8333333333333
sub16,n,r,25%,25%,1321.9166666666667
sub16,n,r,25%,75%,895.6666666666666
sub16,n,r,75%,25%,1235.1666666666667
sub16,n,r,75%,75%,1179.6666666666667
sub16,n,s,25%,25%,1224.7
sub16,n,s,25%,75%,1088.4166666666667
sub16,n,s,75%,25%,1136.4166666666667
sub16,n,s,75%,75%,1074
sub17,d,r,25%,25%,866.4545454545455
sub17,d,r,25%,75%,897.0909090909091
sub17,d,r,75%,25%,1166.2727272727273
sub17,d,r,75%,75%,1046.5454545454545
sub17,d,s,25%,25%,810.3636363636364
sub17,d,s,25%,75%,813.9
sub17,d,s,75%,25%,1175
sub17,d,s,75%,75%,880
sub17,n,r,25%,25%,611.6666666666666
sub17,n,r,25%,75%,839.8
sub17,n,r,75%,25%,893.75
