subject,r_d_25%_25%,r_d_25%_75%,r_d_75%_25%,r_d_75%_75%,r_n_25%_25%,r_n_25%_75%,r_n_75%_25%,r_n_75%_75%,s_d_25%_25%,s_d_25%_75%,s_d_75%_25%,s_d_75%_75%,s_n_25%_25%,s_n_25%_75%,s_n_75%_25%,s_n_75%_75%
sub1,0.9375,0.9805825242718447,0.9583333333333334,1,0.9611650485436893,0.9375,1,1,0.8333333333333334,0.875,0.9375,0.9514563106796117,0.875,0.9166666666666666,0.970873786407767,1
sub10,0.8125,0.941747572815534,0.9583333333333334,1,0.9611650485436893,0.875,0.9375,1,0.9583333333333334,0.8125,0.9375,0.9611650485436893,0.9375,0.7916666666666666,0.9029126213592233,1
sub11,0.625,0.9223300970873787,0.625,0.9375,0.7087378640776699,0.875,0.8125,0.7083333333333334,0.6666666666666666,0.875,0.625,0.7087378640776699,0.5625,0.7916666666666666,0.7378640776699029,0.875
sub12,1,0.9902912621359223,0.9166666666666666,0.875,0.9902912621359223,0.9375,0.9375,1,0.875,0.875,0.875,0.8543689320388349,0.9375,0.8333333333333334,0.941747572815534,0.9375
sub13,1,0.9223300970873787,1,1,0.9902912621359223,1,0.9375,0.9583333333333334,0.9583333333333334,0.6875,1,0.9805825242718447,0.875,0.9166666666666666,0.970873786407767,0.875
sub14,0.9375,0.8446601941747572,1,0.9375,0.9223300970873787,0.75,1,0.9583333333333334,0.8333333333333334,0.875,0.875,0.7864077669902912,0.9375,0.625,0.9029126213592233,0.8125
sub15,0.9375,0.941747572815534,0.9583333333333334,1,0.9514563106796117,1,1,0.9583333333333334,0.9583333333333334,0.9375,1,0.9611650485436893,0.9375,1,0.9902912621359223,1
sub16,1,0.970873786407767,0.9583333333333334,1,0.9902912621359223,1,1,1,0.9166666666666666,1,1,0.9902912621359223,0.875,1,0.941747572815534,1
sub17,0.875,0.9223300970873787,0.7916666666666666,0.9375,0.9029126213592233,0.875,0.9375,0.875,0.9583333333333334,0.8125,0.875,0.8349514563106796,0.875,0.9583333333333334,0.8543689320388349,0.9375
sub18,1,1,1,0.9375,0.9902912621359223,1,1,1,1,1,1,0.970873786407767,0.9375,0.875,0.9805825242718447,1
sub19,0.8125,0.941747572815534,0.9583333333333334,0.9375,0.8640776699029126,1,0.8125,0.8333333333333334,0.875,0.9375,0.875,0.8640776699029126,1,0.8333333333333334,0.8932038834951457,0.8125
sub2,0.9375,0.9805825242718447,1,0.9375,0.9029126213592233,1,0.9375,0.9166666666666666,0.8333333333333334,0.9375,0.9375,0.9223300970873787,0.9375,0.7916666666666666,0.9611650485436893,0.875
