subject,r_d_25%_25%,r_d_25%_75%,r_d_75%_25%,r_d_75%_75%,r_n_25%_25%,r_n_25%_75%,r_n_75%_25%,r_n_75%_75%,s_d_25%_25%,s_d_25%_75%,s_d_75%_25%,s_d_75%_75%,s_n_25%_25%,s_n_25%_75%,s_n_75%_25%,s_n_75%_75%
sub1,0.9166666666666666,0.9166666666666666,1,1,1,0.9166666666666666,1,1,0.8333333333333334,0.9166666666666666,0.9166666666666666,1,0.8333333333333334,0.9166666666666666,1,1
sub10,0.9166666666666666,0.75,0.9166666666666666,1,1,0.9166666666666666,1,1,1,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.75,0.9166666666666666,1
sub11,0.6666666666666666,0.8333333333333334,0.6666666666666666,1,0.75,0.9166666666666666,0.8333333333333334,0.75,0.75,0.9166666666666666,0.75,0.5833333333333334,0.5833333333333334,0.8333333333333334,0.75,1
sub12,1,0.9166666666666666,1,1,1,0.9166666666666666,0.9166666666666666,1,0.75,0.9166666666666666,0.8333333333333334,0.75,1,0.8333333333333334,1,0.9166666666666666
sub13,1,0.9166666666666666,1,1,0.9166666666666666,1,1,1,1,0.5833333333333334,1,1,0.9166666666666666,0.9166666666666666,1,0.8333333333333334
sub14,0.9166666666666666,0.6666666666666666,1,1,0.9166666666666666,0.6666666666666666,1,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.75,0.9166666666666666,0.75,1,0.8333333333333334
sub15,0.9166666666666666,0.9166666666666666,1,1,0.9166666666666666,1,1,1,1,0.9166666666666666,1,1,0.9166666666666666,1,0.9166666666666666,1
sub16,1,1,0.9166666666666666,1,1,1,1,1,0.8333333333333334,1,1,1,0.8333333333333334,1,1,1
sub17,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.75,0.8333333333333334,1,1,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.9166666666666666
sub18,1,1,1,0.9166666666666666,0.9166666666666666,1,1,1,1,1,1,1,1,0.9166666666666666,1,1
sub19,0.75,1,1,0.9166666666666666,0.8333333333333334,1,0.9166666666666666,0.75,0.8333333333333334,0.9166666666666666,0.8333333333333334,1,1,0.9166666666666666,0.8333333333333334,0.9166666666666666
sub2,0.9166666666666666,0.9166666666666666,1,0.9166666666666666,0.9166666666666666,1,0.9166666666666666,0.8333333333333334,0.8333333333333334,1,1,1,1,0.8333333333333334,1,0.8333333333333334
sub20,0.9166666666666666,0.75,1,0.9166666666666666,0.75,0.75,1,0.9166666666666666,0.9166666666666666,0.75,1,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.75,0.8333333333333334
sub21,0.9166666666666666,1,1,1,1,1,1,0.9166666666666666,1,1,1,1,1,1,1,1
sub22,0.9166666666666666,0.9166666666666666,1,1,1,1,1,1,1,1,1,0.9166666666666666,1,1,1,0.9166666666666666
sub23,0.8333333333333334,0.6666666666666666,1,0.9166666666666666,1,0.6666666666666666,1,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.9166666666666666,0.6666666666666666,0.8333333333333334,0.75
