subject,distractorType,taskSequence,switchProp,distractorProp,mean_acc
sub1,d,r,25%,25%,0.9375
sub1,d,r,25%,75%,0.9805825242718447
sub1,d,r,75%,25%,0.9583333333333334
sub1,d,r,75%,75%,1
sub1,d,s,25%,25%,0.8333333333333334
sub1,d,s,25%,75%,0.875
sub1,d,s,75%,25%,0.9375
sub1,d,s,75%,75%,0.9514563106796117
sub1,n,r,25%,25%,0.9611650485436893
sub1,n,r,25%,75%,0.9375
sub1,n,r,75%,25%,1
sub1,n,r,75%,75%,1
sub1,n,s,25%,25%,0.875
sub1,n,s,25%,75%,0.9166666666666666
sub1,n,s,75%,25%,0.970873786407767
sub1,n,s,75%,75%,1
sub10,d,r,25%,25%,0.8125
sub10,d,r,25%,75%,0.941747572815534
sub10,d,r,75%,25%,0.9583333333333334
sub10,d,r,75%,75%,1
sub10,d,s,25%,25%,0.9583333333333334
sub10,d,s,25%,75%,0.8125
sub10,d,s,75%,25%,0.9375
sub10,d,s,75%,75%,0.9611650485436893
sub10,n,r,25%,25%,0.9611650485436893
sub10,n,r,25%,75%,0.875
sub10,n,r,75%,25%,0.9375
sub10,n,r,75%,75%,1
sub10,n,s,25%,25%,0.9375
sub10,n,s,25%,75%,0.7916666666666666
sub10,n,s,75%,25%,0.9029126213592233
sub10,n,s,75%,75%,1
sub11,d,r,25%,25%,0.625
sub11,d,r,25%,75%,0.9223300970873787
sub11,d,r,75%,25%,0.625
sub11,d,r,75%,75%,0.9375
sub11,d,s,25%,25%,0.6666666666666666
sub11,d,s,25%,75%,0.875
sub11,d,s,75%,25%,0.625
sub11,d,s,75%,75%,0.7087378640776699
sub11,n,r,25%,25%,0.7087378640776699
sub11,n,r,25%,75%,0.875
sub11,n,r,75%,25%,0.8125
sub11,n,r,75%,75%,0.7083333333333334
sub11,n,s,25%,25%,0.5625
sub11,n,s,25%,75%,0.7916666666666666
sub11,n,s,75%,25%,0.7378640776699029
sub11,n,s,75%,75%,0.875
sub12,d,r,25%,25%,1
sub12,d,r,25%,75%,0.9902912621359223
sub12,d,r,75%,25%,0.9166666666666666
sub12,d,r,75%,75%,0.875
sub12,d,s,25%,25%,0.875
sub12,d,s,25%,75%,0.875
sub12,d,s,75%,25%,0.875
sub12,d,s,75%,75%,0.8543689320388349
sub12,n,r,25%,25%,0.9902912621359223
sub12,n,r,25%,75%,0.9375
sub12,n,r,75%,25%,0.9375
sub12,n,r,75%,75%,1
sub12,n,s,25%,25%,0.9375
sub12,n,s,25%,75%,0.8333333333333334
sub12,n,s,75%,25%,0.941747572815534
sub12,n,s,75%,75%,0.9375
sub13,d,r,25%,25%,1
sub13,d,r,25%,75%,0.9223300970873787
sub13,d,r,75%,25%,1
sub13,d,r,75%,75%,1
sub13,d,s,25%,25%,0.9583333333333334
sub13,d,s,25%,75%,0.6875
sub13,d,s,75%,25%,1
sub13,d,s,75%,75%,0.9805825242718447
sub13,n,r,25%,25%,0.9902912621359223
sub13,n,r,25%,75%,1
sub13,n,r,75%,25%,0.9375
sub13,n,r,75%,75%,0.9583333333333334
sub13,n,s,25%,25%,0.875
sub13,n,s,25%,75%,0.9166666666666666
sub13,n,s,75%,25%,0.970873786407767
sub13,n,s,75%,75%,0.875
sub14,d,r,25%,25%,0.9375
sub14,d,r,25%,75%,0.8446601941747572
sub14,d,r,75%,25%,1
sub14,d,r,75%,75%,0.9375
sub14,d,s,25%,25%,0.8333333333333334
sub14,d,s,25%,75%,0.875
sub14,d,s,75%,25%,0.875
sub14,d,s,75%,75%,0.7864077669902912
sub14,n,r,25%,25%,0.9223300970873787
sub14,n,r,25%,75%,0.75
sub14,n,r,75%,25%,1
sub14,n,r,75%,75%,0.9583333333333334
sub14,n,s,25%,25%,0.9375
sub14,n,s,25%,75%,0.625
sub14,n,s,75%,25%,0.9029126213592233
sub14,n,s,75%,75%,0.8125
sub15,d,r,25%,25%,0.9375
sub15,d,r,25%,75%,0.941747572815534
sub15,d,r,75%,25%,0.9583333333333334
sub15,d,r,75%,75%,1
sub15,d,s,25%,25%,0.9583333333333334
sub15,d,s,25%,75%,0.9375
sub15,d,s,75%,25%,1
sub15,d,s,75%,75%,0.9611650485436893
sub15,n,r,25%,25%,0.9514563106796117
sub15,n,r,25%,75%,1
sub15,n,r,75%,25%,1
sub15,n,r,75%,75%,0.9583333333333334
sub15,n,s,25%,25%,0.9375
sub15,n,s,25%,75%,1
sub15,n,s,75%,25%,0.9902912621359223
sub15,n,s,75%,75%,1
sub16,d,r,25%,25%,1
sub16,d,r,25%,75%,0.970873786407767
sub16,d,r,75%,25%,0.9583333333333334
sub16,d,r,75%,75%,1
sub16,d,s,25%,25%,0.9166666666666666
sub16,d,s,25%,75%,1
sub16,d,s,75%,25%,1
sub16,d,s,75%,75%,0.9902912621359223
sub16,n,r,25%,25%,0.9902912621359223
sub16,n,r,25%,75%,1
sub16,n,r,75%,25%,1
sub16,n,r,75%,75%,1
sub16,n,s,25%,25%,0.875
sub16,n,s,25%,75%,1
sub16,n,s,75%,25%,0.941747572815534
sub16,n,s,75%,75%,1
sub17,d,r,25%,25%,0.875
sub17,d,r,25%,75%,0.9223300970873787
sub17,d,r,75%,25%,0.7916666666666666
sub17,d,r,75%,75%,0.9375
sub17,d,s,25%,25%,0.9583333333333334
sub17,d,s,25%,75%,0.8125
sub17,d,s,75%,25%,0.875
sub17,d,s,75%,75%,0.8349514563106796
sub17,n,r,25%,25%,0.9029126213592233
sub17,n,r,25%,75%,0.875
sub17,n,r,75%,25%,0.9375
sub17,n,r,75%,75%,0.875
sub17,n,s,25%,25%,0.875
sub17,n,s,25%,75%,0.9583333333333334
sub17,n,s,75%,25%,0.8543689320388349
sub17,n,s,75%,75%,0.9375
sub18,d,r,25%,25%,1
sub18,d,r,25%,75%,1
sub18,d,r,75%,25%,1
sub18,d,r,75%,75%,0.9375
sub18,d,s,25%,25%,1
sub18,d,s,25%,75%,1
sub18,d,s,75%,25%,1
sub18,d,s,75%,75%,0.970873786407767
sub18,n,r,25%,25%,0.9902912621359223
sub18,n,r,25%,75%,1
sub18,n,r,75%,25%,1
sub18,n,r,75%,75%,1
sub18,n,s,25%,25%,0.9375
sub18,n,s,25%,75%,0.875
sub18,n,s,75%,25%,0.9805825242718447
sub18,n,s,75%,75%,1
sub19,d,r,25%,25%,0.8125
sub19,d,r,25%,75%,0.941747572815534
sub19,d,r,75%,25%,0.9583333333333334
sub19,d,r,75%,75%,0.9375
sub19,d,s,25%,25%,0.875
sub19,d,s,25%,75%,0.9375
sub19,d,s,75%,25%,0.875
sub19,d,s,75%,75%,0.8640776699029126
sub19,n,r,25%,25%,0.8640776699029126
sub19,n,r,25%,75%,1
sub19,n,r,75%,25%,0.8125
sub19,n,r,75%,75%,0.8333333333333334
sub19,n,s,25%,25%,1
sub19,n,s,25%,75%,0.8333333333333334
sub19,n,s,75%,25%,0.8932038834951457
sub19,n,s,75%,75%,0.8125
sub2,d,r,25%,25%,0.9375
sub2,d,r,25%,75%,0.9805825242718447
sub2,d,r,75%,25%,1
sub2,d,r,75%,75%,0.9375
sub2,d,s,25%,25%,0.8333333333333334
sub2,d,s,25%,75%,0.9375
sub2,d,s,75%,25%,0.9375
sub2,d,s,75%,75%,0.9223300970873787
sub2,n,r,25%,25%,0.9029126213592233
sub2,n,r,25%,75%,1
sub2,n,r,75%,25%,0.9375
sub2,n,r,75%,75%,0.9166666666666666
sub2,n,s,25%,25%,0.9375
sub2,n,s,25%,75%,0.7916666666666666
sub2,n,s,75%,25%,0.9611650485436893
sub2,n,s,75%,75%,0.875
sub20,d,r,25%,25%,0.875
sub20,d,r,25%,75%,0.8155339805825242
sub20,d,r,75%,25%,0.9583333333333334
sub20,d,r,75%,75%,0.875
sub20,d,s,25%,25%,0.9583333333333334
sub20,d,s,25%,75%,0.6875
sub20,d,s,75%,25%,0.9375
sub20,d,s,75%,75%,0.8640776699029126
sub20,n,r,25%,25%,0.912621359223301
sub20,n,r,25%,75%,0.8125
sub20,n,r,75%,25%,1
sub20,n,r,75%,75%,0.9166666666666666
sub20,n,s,25%,25%,0.8125
sub20,n,s,25%,75%,0.75
sub20,n,s,75%,25%,0.8349514563106796
sub20,n,s,75%,75%,0.875
sub21,d,r,25%,25%,0.9375
sub21,d,r,25%,75%,0.9902912621359223
sub21,d,r,75%,25%,1
sub21,d,r,75%,75%,1
sub21,d,s,25%,25%,1
sub21,d,s,25%,75%,1
sub21,d,s,75%,25%,1
sub21,d,s,75%,75%,0.9805825242718447
sub21,n,r,25%,25%,1
sub21,n,r,25%,75%,1
sub21,n,r,75%,25%,1
sub21,n,r,75%,75%,0.9583333333333334
sub21,n,s,25%,25%,1
sub21,n,s,25%,75%,0.9166666666666666
sub21,n,s,75%,25%,0.970873786407767
sub21,n,s,75%,75%,1
sub22,d,r,25%,25%,0.9375
sub22,d,r,25%,75%,0.9805825242718447
sub22,d,r,75%,25%,1
sub22,d,r,75%,75%,1
sub22,d,s,25%,25%,1
sub22,d,s,25%,75%,1
sub22,d,s,75%,25%,1
sub22,d,s,75%,75%,0.9611650485436893
sub22,n,r,25%,25%,0.9902912621359223
