subject,distractorType,taskSequence,switchProp,distractorProp,mean_acc
sub1,d,r,25%,25%,0.9166666666666666
sub1,d,r,25%,75%,0.9166666666666666
sub1,d,r,75%,25%,1
sub1,d,r,75%,75%,1
sub1,d,s,25%,25%,0.8333333333333334
sub1,d,s,25%,75%,0.9166666666666666
sub1,d,s,75%,25%,0.9166666666666666
sub1,d,s,75%,75%,1
sub1,n,r,25%,25%,1
sub1,n,r,25%,75%,0.9166666666666666
sub1,n,r,75%,25%,1
sub1,n,r,75%,75%,1
sub1,n,s,25%,25%,0.8333333333333334
sub1,n,s,25%,75%,0.9166666666666666
sub1,n,s,75%,25%,1
sub1,n,s,75%,75%,1
sub10,d,r,25%,25%,0.9166666666666666
sub10,d,r,25%,75%,0.75
sub10,d,r,75%,25%,0.9166666666666666
sub10,d,r,75%,75%,1
sub10,d,s,25%,25%,1
sub10,d,s,25%,75%,0.8333333333333334
sub10,d,s,75%,25%,0.9166666666666666
sub10,d,s,75%,75%,0.8333333333333334
sub10,n,r,25%,25%,1
sub10,n,r,25%,75%,0.9166666666666666
sub10,n,r,75%,25%,1
sub10,n,r,75%,75%,1
sub10,n,s,25%,25%,0.9166666666666666
sub10,n,s,25%,75%,0.75
sub10,n,s,75%,25%,0.9166666666666666
sub10,n,s,75%,75%,1
sub11,d,r,25%,25%,0.6666666666666666
sub11,d,r,25%,75%,0.8333333333333334
sub11,d,r,75%,25%,0.6666666666666666
sub11,d,r,75%,75%,1
sub11,d,s,25%,25%,0.75
sub11,d,s,25%,75%,0.9166666666666666
sub11,d,s,75%,25%,0.75
sub11,d,s,75%,75%,0.5833333333333334
sub11,n,r,25%,25%,0.75
sub11,n,r,25%,75%,0.9166666666666666
sub11,n,r,75%,25%,0.8333333333333334
sub11,n,r,75%,75%,0.75
sub11,n,s,25%,25%,0.5833333333333334
sub11,n,s,25%,75%,0.8333333333333334
sub11,n,s,75%,25%,0.75
sub11,n,s,75%,75%,1
sub12,d,r,25%,25%,1
sub12,d,r,25%,75%,0.9166666666666666
sub12,d,r,75%,25%,1
sub12,d,r,75%,75%,1
sub12,d,s,25%,25%,0.75
sub12,d,s,25%,75%,0.9166666666666666
sub12,d,s,75%,25%,0.8333333333333334
sub12,d,s,75%,75%,0.75
sub12,n,r,25%,25%,1
sub12,n,r,25%,75%,0.9166666666666666
sub12,n,r,75%,25%,0.9166666666666666
sub12,n,r,75%,75%,1
sub12,n,s,25%,25%,1
sub12,n,s,25%,75%,0.8333333333333334
sub12,n,s,75%,25%,1
sub12,n,s,75%,75%,0.9166666666666666
sub13,d,r,25%,25%,1
sub13,d,r,25%,75%,0.9166666666666666
sub13,d,r,75%,25%,1
sub13,d,r,75%,75%,1
sub13,d,s,25%,25%,1
sub13,d,s,25%,75%,0.5833333333333334
sub13,d,s,75%,25%,1
sub13,d,s,75%,75%,1
sub13,n,r,25%,25%,0.9166666666666666
sub13,n,r,25%,75%,1
sub13,n,r,75%,25%,1
sub13,n,r,75%,75%,1
sub13,n,s,25%,25%,0.9166666666666666
sub13,n,s,25%,75%,0.9166666666666666
sub13,n,s,75%,25%,1
sub13,n,s,75%,75%,0.8333333333333334
sub14,d,r,25%,25%,0.9166666666666666
sub14,d,r,25%,75%,0.6666666666666666
sub14,d,r,75%,25%,1
sub14,d,r,75%,75%,1
sub14,d,s,25%,25%,0.8333333333333334
sub14,d,s,25%,75%,0.8333333333333334
sub14,d,s,75%,25%,0.8333333333333334
sub14,d,s,75%,75%,0.75
sub14,n,r,25%,25%,0.9166666666666666
sub14,n,r,25%,75%,0.6666666666666666
sub14,n,r,75%,25%,1
sub14,n,r,75%,75%,1
sub14,n,s,25%,25%,0.9166666666666666
sub14,n,s,25%,75%,0.75
sub14,n,s,75%,25%,1
sub14,n,s,75%,75%,0.8333333333333334
sub15,d,r,25%,25%,0.9166666666666666
sub15,d,r,25%,75%,0.9166666666666666
sub15,d,r,75%,25%,1
sub15,d,r,75%,75%,1
sub15,d,s,25%,25%,1
sub15,d,s,25%,75%,0.9166666666666666
sub15,d,s,75%,25%,1
sub15,d,s,75%,75%,1
sub15,n,r,25%,25%,0.9166666666666666
sub15,n,r,25%,75%,1
sub15,n,r,75%,25%,1
sub15,n,r,75%,75%,1
sub15,n,s,25%,25%,0.9166666666666666
sub15,n,s,25%,75%,1
sub15,n,s,75%,25%,0.9166666666666666
sub15,n,s,75%,75%,1
sub16,d,r,25%,25%,1
sub16,d,r,25%,75%,1
sub16,d,r,75%,25%,0.9166666666666666
sub16,d,r,75%,75%,1
sub16,d,s,25%,25%,0.8333333333333334
sub16,d,s,25%,75%,1
sub16,d,s,75%,25%,1
sub16,d,s,75%,75%,1
sub16,n,r,25%,25%,1
sub16,n,r,25%,75%,1
sub16,n,r,75%,25%,1
sub16,n,r,75%,75%,1
sub16,n,s,25%,25%,0.8333333333333334
sub16,n,s,25%,75%,1
sub16,n,s,75%,25%,1
sub16,n,s,75%,75%,1
sub17,d,r,25%,25%,0.9166666666666666
sub17,d,r,25%,75%,0.9166666666666666
sub17,d,r,75%,25%,0.9166666666666666
sub17,d,r,75%,75%,0.9166666666666666
sub17,d,s,25%,25%,0.9166666666666666
sub17,d,s,25%,75%,0.8333333333333334
sub17,d,s,75%,25%,0.8333333333333334
sub17,d,s,75%,75%,0.8333333333333334
sub17,n,r,25%,25%,0.75
sub17,n,r,25%,75%,0.8333333333333334
sub17,n,r,75%,25%,1
sub17,n,r,75%,75%,1
sub17,n,s,25%,25%,0.8333333333333334
sub17,n,s,25%,75%,0.9166666666666666
sub17,n,s,75%,25%,0.9166666666666666
sub17,n,s,75%,75%,0.9166666666666666
sub18,d,r,25%,25%,1
sub18,d,r,25%,75%,1
sub18,d,r,75%,25%,1
sub18,d,r,75%,75%,0.9166666666666666
sub18,d,s,25%,25%,1
sub18,d,s,25%,75%,1
sub18,d,s,75%,25%,1
sub18,d,s,75%,75%,1
sub18,n,r,25%,25%,0.9166666666666666
sub18,n,r,25%,75%,1
sub18,n,r,75%,25%,1
sub18,n,r,75%,75%,1
sub18,n,s,25%,25%,1
sub18,n,s,25%,75%,0.9166666666666666
sub18,n,s,75%,25%,1
sub18,n,s,75%,75%,1
sub19,d,r,25%,25%,0.75
sub19,d,r,25%,75%,1
sub19,d,r,75%,25%,1
sub19,d,r,75%,75%,0.9166666666666666
sub19,d,s,25%,25%,0.8333333333333334
sub19,d,s,25%,75%,0.9166666666666666
sub19,d,s,75%,25%,0.8333333333333334
sub19,d,s,75%,75%,1
sub19,n,r,25%,25%,0.8333333333333334
sub19,n,r,25%,75%,1
sub19,n,r,75%,25%,0.9166666666666666
